dataset,algorithm,decision_point,operator,n_trials,median_delta_accuracy,q1_delta_accuracy,q3_delta_accuracy,median_delta_simplicity,q1_delta_simplicity,q3_delta_simplicity,median_delta_similarity,q1_delta_similarity,q3_delta_similarity
hospital_billing,C4.5,p_22,regrow_internal,1,0.08614887602638299,0.08614887602638299,0.08614887602638299,0.0,0.0,0.0,0.0,0.0,0.0
hospital_billing,C4.5,p_6,regrow_internal,1,0.0005992808629644575,0.0005992808629644575,0.0005992808629644575,0.0,0.0,0.0,0.0,0.0,0.0
hospital_billing,CART,p_23,change_feature,4,0.00035450217765620184,0.00035450217765620184,0.00035450217765620184,0.0,0.0,0.0,0.0,0.0,0.0
hospital_billing,CART,p_24,branch_swap,21,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.0,0.0,0.16670000000000001
hospital_billing,CART,p_24,change_feature,18,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.16670000000000001,0.13329999999999997,0.16670000000000001
hospital_billing,CART,p_24,change_label,60,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.13329999999999997,0.0,0.16670000000000001
hospital_billing,CART,p_24,change_threshold,9,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.13329999999999997,0.13329999999999997,0.13329999999999997
hospital_billing,CART,p_24,prune,22,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.17859999999999998,0.0,0.19640000000000002
hospital_billing,CART,p_24,regrow_internal,14,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.0868,0.021425,0.1117
hospital_billing,CART,p_24,regrow_leaf,60,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.0879,0.0,0.10249999999999998
hospital_billing,REPTree,p_10,regrow_leaf,1,0.0,0.0,0.0,0.06451612903225801,0.06451612903225801,0.06451612903225801,0.0,0.0,0.0
hospital_billing,REPTree,p_22,change_feature,1,0.09489837124781253,0.09489837124781253,0.09489837124781253,0.0,0.0,0.0,0.0,0.0,0.0
hospital_billing,REPTree,p_22,regrow_internal,1,0.09633418584825226,0.09633418584825226,0.09633418584825226,0.06451612903225812,0.06451612903225812,0.06451612903225812,0.0,0.0,0.0
hospital_billing,REPTree,p_6,regrow_internal,1,0.0005992808629644575,0.0005992808629644575,0.0005992808629644575,0.06451612903225812,0.06451612903225812,0.06451612903225812,0.0,0.0,0.0
