dataset,algorithm,operator,n_trials,median_delta_accuracy,q1_delta_accuracy,q3_delta_accuracy,median_delta_simplicity,q1_delta_simplicity,q3_delta_simplicity,median_delta_similarity,q1_delta_similarity,q3_delta_similarity
hospital_billing,C4.5,regrow_internal,2,0.043374078444673725,0.02198667965381909,0.06476147723552836,0.0,0.0,0.0,0.0,0.0,0.0
hospital_billing,CART,branch_swap,21,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.0,0.0,0.16670000000000001
hospital_billing,CART,change_feature,22,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.15,0.0,0.16670000000000001
hospital_billing,CART,change_label,60,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.13329999999999997,0.0,0.16670000000000001
hospital_billing,CART,change_threshold,9,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.13329999999999997,0.13329999999999997,0.13329999999999997
hospital_billing,CART,prune,22,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.17859999999999998,0.0,0.19640000000000002
hospital_billing,CART,regrow_internal,14,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.0868,0.021425,0.1117
hospital_billing,CART,regrow_leaf,60,0.0024875621890547706,0.0024875621890547706,0.0024875621890547706,0.0,0.0,0.0,0.0879,0.0,0.10249999999999998
hospital_billing,REPTree,change_feature,1,0.09489837124781253,0.09489837124781253,0.09489837124781253,0.0,0.0,0.0,0.0,0.0,0.0
hospital_billing,REPTree,regrow_internal,2,0.04846673335560836,0.02453300710928641,0.07240045960193031,0.06451612903225812,0.06451612903225812,0.06451612903225812,0.0,0.0,0.0
hospital_billing,REPTree,regrow_leaf,1,0.0,0.0,0.0,0.06451612903225801,0.06451612903225801,0.06451612903225801,0.0,0.0,0.0
