dataset,mine_algorithm,trial_id,seed,decision_point,mutation_type,n_dominated,median_delta_accuracy,median_delta_similarity,median_delta_simplicity
hospital_billing,CART,s3_branch_swap_0,0,p_24,branch_swap,6,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,0,p_24,change_feature,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_0,0,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,0,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,0,p_24,prune,6,0.0024875621890547706,0.17859999999999998,0.0
hospital_billing,CART,s3_regrow_internal_0,0,p_24,regrow_internal,6,0.0024875621890547706,0.10600000000000001,0.0
hospital_billing,CART,s3_regrow_leaf_0,0,p_24,regrow_leaf,6,0.0024875621890547706,0.07919999999999999,0.0
hospital_billing,CART,s3_regrow_leaf_1,0,p_24,regrow_leaf,3,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_change_feature_0,1,p_23,change_feature,21,0.00035450217765620184,0.0,0.0
hospital_billing,CART,s3_branch_swap_0,1,p_24,branch_swap,6,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,1,p_24,change_feature,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_0,1,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,1,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,1,p_24,prune,6,0.0024875621890547706,0.17859999999999998,0.0
hospital_billing,CART,s3_regrow_internal_0,1,p_24,regrow_internal,6,0.0024875621890547706,0.1182,0.0
hospital_billing,CART,s3_regrow_leaf_0,1,p_24,regrow_leaf,6,0.0024875621890547706,0.0857,0.0
hospital_billing,CART,s3_regrow_leaf_1,1,p_24,regrow_leaf,3,0.0024875621890547706,0.0699,0.0
hospital_billing,REPTree,s3_change_feature_0,10,p_22,change_feature,1,0.09489837124781253,0.0,0.0
hospital_billing,CART,s3_branch_swap_0,10,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
