dataset,algorithm,operator,n_trials,dominance_pct
hospital_billing,C4.5,branch_swap,330,0.0
hospital_billing,C4.5,change_feature,330,0.0
hospital_billing,C4.5,change_label,540,0.0
hospital_billing,C4.5,change_threshold,210,0.0
hospital_billing,C4.5,prune,360,0.0
hospital_billing,C4.5,regrow_internal,358,0.5586592178770949
hospital_billing,C4.5,regrow_leaf,540,0.0
hospital_billing,CART,branch_swap,330,6.363636363636363
hospital_billing,CART,change_feature,330,6.666666666666667
hospital_billing,CART,change_label,540,11.11111111111111
hospital_billing,CART,change_threshold,210,4.285714285714286
hospital_billing,CART,prune,360,6.111111111111111
hospital_billing,CART,regrow_internal,358,3.910614525139665
hospital_billing,CART,regrow_leaf,540,11.11111111111111
hospital_billing,REPTree,branch_swap,330,0.0
hospital_billing,REPTree,change_feature,330,0.30303030303030304
hospital_billing,REPTree,change_label,540,0.0
hospital_billing,REPTree,change_threshold,210,0.0
hospital_billing,REPTree,prune,360,0.0
hospital_billing,REPTree,regrow_internal,358,0.5586592178770949
hospital_billing,REPTree,regrow_leaf,540,0.1851851851851852
