dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner
hospital_billing,overall,CART,False,2668,0.0,0.0,0.16227271878086794,0.156577688172043,0.16665,RulesRepair
hospital_billing,overall,J48,False,2608,0.0,0.0,0.347812348069954,0.3405805040631924,0.3547649267056052,RulesRepair
hospital_billing,overall,REPTree,False,2608,0.0,0.0,0.2860459804834411,0.2785458474340161,0.29415829451530684,RulesRepair
hospital_billing,prune,CART,False,360,4.202007701280872e-52,4.202007701280872e-52,0.12460148577919958,0.10847245352113505,0.14271766039346712,RulesRepair
hospital_billing,prune,J48,False,360,7.44478472126723e-61,7.44478472126723e-61,0.34398091640027123,0.322706622477131,0.3553783259966051,RulesRepair
hospital_billing,prune,REPTree,False,360,8.800783130777079e-57,8.800783130777079e-57,0.2666487833388559,0.24160630327742985,0.27642282584014505,RulesRepair
hospital_billing,change_label,CART,False,540,6.852387686344122e-61,6.852387686344122e-61,0.12778333333333333,0.10250450106854683,0.13988498881257536,RulesRepair
hospital_billing,change_label,J48,False,510,2.5583353410073442e-85,2.5583353410073442e-85,0.3578174219023828,0.347459731281903,0.36483800536277816,RulesRepair
hospital_billing,change_label,REPTree,False,510,2.412890055303917e-85,2.412890055303917e-85,0.29556991067746735,0.28377979895452543,0.30653498881257535,RulesRepair
hospital_billing,branch_swap,CART,False,330,3.3015681132872847e-46,3.3015681132872847e-46,0.11527193868858045,0.09945403225806453,0.13083960482489157,RulesRepair
hospital_billing,branch_swap,J48,False,330,5.068641385989209e-51,5.068641385989209e-51,0.3064997691496837,0.28313164953783926,0.3227332929468979,RulesRepair
hospital_billing,branch_swap,REPTree,False,330,4.072197133816713e-46,4.072197133816713e-46,0.25775974228277615,0.2148500220964872,0.2740691982556839,RulesRepair
hospital_billing,change_threshold,CART,False,210,6.124187132401105e-37,6.124187132401105e-37,0.17544451369464575,0.14717741935483875,0.1953000861450761,RulesRepair
hospital_billing,change_threshold,J48,False,210,1.7761032689597618e-36,1.7761032689597618e-36,0.3224132761966076,0.3141352867656903,0.36395716125464295,RulesRepair
hospital_billing,change_threshold,REPTree,False,210,1.7761032689597618e-36,1.7761032689597618e-36,0.3363996970500729,0.28039789193581843,0.34667501718202326,RulesRepair
hospital_billing,change_feature,CART,False,330,4.325085180422959e-56,4.325085180422959e-56,0.16289946236559139,0.14864633593348975,0.1716677866279998,RulesRepair
hospital_billing,change_feature,J48,False,330,6.693122286815311e-56,6.693122286815311e-56,0.3205541073813234,0.2977775928141413,0.34520843498411713,RulesRepair
hospital_billing,change_feature,REPTree,False,330,5.903285747272721e-56,5.903285747272721e-56,0.25649030544538504,0.23033914346052184,0.2807977679720175,RulesRepair
hospital_billing,regrow_leaf,CART,False,540,1.5685332134313428e-88,1.5685332134313428e-88,0.22579523321544567,0.21666405325749438,0.23388081855330456,RulesRepair
hospital_billing,regrow_leaf,J48,False,510,2.9394049005030085e-85,2.9394049005030085e-85,0.3861279004091697,0.3758292157441863,0.3967417747715603,RulesRepair
hospital_billing,regrow_leaf,REPTree,False,510,2.910615442226492e-85,2.910615442226492e-85,0.32046238125402526,0.312986953679557,0.3275585590742147,RulesRepair
hospital_billing,regrow_internal,CART,False,358,6.061416951416629e-60,6.061416951416629e-60,0.1851309108809211,0.1729797043010753,0.1979019507603221,RulesRepair
hospital_billing,regrow_internal,J48,False,358,1.990072657505775e-60,1.990072657505775e-60,0.3456063624690287,0.32915913978494626,0.36077183119776957,RulesRepair
hospital_billing,regrow_internal,REPTree,False,358,4.196926455424735e-60,4.196926455424735e-60,0.27969018817204305,0.26260362797891473,0.29755343845994875,RulesRepair
