dataset,seed,decision_point,trial_id,operator,algorithm,front_size,n_dominated,d_i
international_declarations,0,p_12,s3_branch_swap_0,branch_swap,CART,208,0,0.0
international_declarations,0,p_12,s3_branch_swap_0,branch_swap,C4.5,208,0,0.0
international_declarations,0,p_12,s3_branch_swap_0,branch_swap,REPTree,208,0,0.0
international_declarations,0,p_12,s3_change_feature_0,change_feature,CART,208,0,0.0
international_declarations,0,p_12,s3_change_feature_0,change_feature,C4.5,208,0,0.0
international_declarations,0,p_12,s3_change_feature_0,change_feature,REPTree,208,0,0.0
international_declarations,0,p_12,s3_change_label_0,change_label,CART,208,0,0.0
international_declarations,0,p_12,s3_change_label_0,change_label,C4.5,208,0,0.0
international_declarations,0,p_12,s3_change_label_0,change_label,REPTree,208,0,0.0
international_declarations,0,p_12,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
international_declarations,0,p_12,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
international_declarations,0,p_12,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
international_declarations,0,p_17,s3_change_label_0,change_label,CART,208,0,0.0
international_declarations,0,p_17,s3_change_label_0,change_label,C4.5,208,0,0.0
international_declarations,0,p_17,s3_change_label_0,change_label,REPTree,208,0,0.0
international_declarations,0,p_17,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
international_declarations,0,p_17,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
international_declarations,0,p_17,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
international_declarations,0,p_19,s3_change_label_0,change_label,CART,208,0,0.0
international_declarations,0,p_19,s3_change_label_0,change_label,C4.5,208,0,0.0
international_declarations,0,p_19,s3_change_label_0,change_label,REPTree,208,0,0.0
international_declarations,0,p_19,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
international_declarations,0,p_19,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
international_declarations,0,p_19,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
