dataset,algorithm,decision_point,operator,n_trials,dominance_pct
international_declarations,C4.5,p_12,branch_swap,30,0.0
international_declarations,C4.5,p_12,change_feature,30,0.0
international_declarations,C4.5,p_12,change_label,30,0.0
international_declarations,C4.5,p_12,regrow_internal,1,0.0
international_declarations,C4.5,p_12,regrow_leaf,30,0.0
international_declarations,C4.5,p_17,change_label,30,0.0
international_declarations,C4.5,p_17,regrow_leaf,30,0.0
international_declarations,C4.5,p_19,change_label,30,0.0
international_declarations,C4.5,p_19,regrow_leaf,30,0.0
international_declarations,C4.5,p_21,change_label,30,0.0
international_declarations,C4.5,p_21,regrow_leaf,30,0.0
international_declarations,C4.5,p_22,change_label,30,0.0
international_declarations,C4.5,p_22,regrow_leaf,30,0.0
international_declarations,C4.5,p_24,change_label,30,0.0
international_declarations,C4.5,p_24,regrow_leaf,30,0.0
international_declarations,C4.5,p_3,change_label,30,0.0
international_declarations,C4.5,p_3,regrow_leaf,30,0.0
international_declarations,C4.5,p_38,change_label,30,0.0
international_declarations,C4.5,p_38,regrow_leaf,30,0.0
international_declarations,C4.5,p_50,change_label,30,0.0
international_declarations,C4.5,p_50,regrow_leaf,30,0.0
international_declarations,C4.5,p_52,branch_swap,30,0.0
international_declarations,C4.5,p_52,change_feature,30,0.0
international_declarations,C4.5,p_52,change_label,30,0.0
international_declarations,C4.5,p_52,change_threshold,30,0.0
international_declarations,C4.5,p_52,prune,30,0.0
international_declarations,C4.5,p_52,regrow_internal,30,0.0
international_declarations,C4.5,p_52,regrow_leaf,30,0.0
international_declarations,C4.5,p_56,branch_swap,30,0.0
international_declarations,C4.5,p_56,change_feature,30,0.0
international_declarations,C4.5,p_56,change_label,30,0.0
international_declarations,C4.5,p_56,change_threshold,30,0.0
international_declarations,C4.5,p_56,prune,30,0.0
international_declarations,C4.5,p_56,regrow_internal,30,3.3333333333333335
international_declarations,C4.5,p_56,regrow_leaf,30,0.0
international_declarations,C4.5,p_58,branch_swap,30,0.0
international_declarations,C4.5,p_58,change_feature,30,0.0
international_declarations,C4.5,p_58,change_label,30,0.0
international_declarations,C4.5,p_58,prune,30,0.0
international_declarations,C4.5,p_58,regrow_internal,30,0.0
international_declarations,C4.5,p_58,regrow_leaf,30,0.0
international_declarations,C4.5,p_63,change_label,30,0.0
international_declarations,C4.5,p_63,regrow_leaf,30,0.0
international_declarations,C4.5,p_65,branch_swap,30,0.0
international_declarations,C4.5,p_65,change_feature,30,0.0
international_declarations,C4.5,p_65,change_label,30,0.0
international_declarations,C4.5,p_65,change_threshold,30,0.0
international_declarations,C4.5,p_65,prune,30,0.0
international_declarations,C4.5,p_65,regrow_internal,30,0.0
international_declarations,C4.5,p_65,regrow_leaf,30,0.0
international_declarations,C4.5,p_68,branch_swap,30,0.0
international_declarations,C4.5,p_68,change_feature,30,0.0
international_declarations,C4.5,p_68,change_label,30,0.0
international_declarations,C4.5,p_68,change_threshold,30,0.0
international_declarations,C4.5,p_68,prune,30,0.0
international_declarations,C4.5,p_68,regrow_internal,30,0.0
international_declarations,C4.5,p_68,regrow_leaf,30,0.0
international_declarations,C4.5,p_74,change_label,30,0.0
international_declarations,C4.5,p_74,regrow_leaf,30,0.0
international_declarations,C4.5,p_76,change_label,30,0.0
international_declarations,C4.5,p_76,regrow_leaf,30,0.0
international_declarations,C4.5,p_9,branch_swap,30,0.0
international_declarations,C4.5,p_9,change_label,30,0.0
international_declarations,C4.5,p_9,prune,30,0.0
international_declarations,C4.5,p_9,regrow_internal,30,0.0
international_declarations,C4.5,p_9,regrow_leaf,30,0.0
international_declarations,CART,p_12,branch_swap,30,0.0
international_declarations,CART,p_12,change_feature,30,0.0
international_declarations,CART,p_12,change_label,30,0.0
international_declarations,CART,p_12,regrow_internal,1,0.0
international_declarations,CART,p_12,regrow_leaf,30,0.0
international_declarations,CART,p_17,change_label,30,0.0
international_declarations,CART,p_17,regrow_leaf,30,0.0
international_declarations,CART,p_19,change_label,30,0.0
international_declarations,CART,p_19,regrow_leaf,30,0.0
international_declarations,CART,p_21,change_label,30,0.0
international_declarations,CART,p_21,regrow_leaf,30,0.0
international_declarations,CART,p_22,change_label,30,0.0
international_declarations,CART,p_22,regrow_leaf,30,0.0
international_declarations,CART,p_24,change_label,30,0.0
international_declarations,CART,p_24,regrow_leaf,30,0.0
international_declarations,CART,p_3,change_label,30,0.0
international_declarations,CART,p_3,regrow_leaf,30,0.0
international_declarations,CART,p_38,change_label,30,0.0
international_declarations,CART,p_38,regrow_leaf,30,0.0
international_declarations,CART,p_50,change_label,30,0.0
international_declarations,CART,p_50,regrow_leaf,30,0.0
international_declarations,CART,p_52,branch_swap,30,0.0
international_declarations,CART,p_52,change_feature,30,0.0
international_declarations,CART,p_52,change_label,30,0.0
international_declarations,CART,p_52,change_threshold,30,0.0
international_declarations,CART,p_52,prune,30,0.0
international_declarations,CART,p_52,regrow_internal,30,0.0
international_declarations,CART,p_52,regrow_leaf,30,0.0
international_declarations,CART,p_56,branch_swap,30,0.0
international_declarations,CART,p_56,change_feature,30,0.0
international_declarations,CART,p_56,change_label,30,0.0
international_declarations,CART,p_56,change_threshold,30,0.0
international_declarations,CART,p_56,prune,30,0.0
international_declarations,CART,p_56,regrow_internal,30,0.0
international_declarations,CART,p_56,regrow_leaf,30,0.0
international_declarations,CART,p_58,branch_swap,30,0.0
international_declarations,CART,p_58,change_feature,30,0.0
international_declarations,CART,p_58,change_label,30,0.0
international_declarations,CART,p_58,prune,30,0.0
international_declarations,CART,p_58,regrow_internal,30,0.0
international_declarations,CART,p_58,regrow_leaf,30,0.0
international_declarations,CART,p_63,change_label,30,0.0
international_declarations,CART,p_63,regrow_leaf,30,0.0
international_declarations,CART,p_65,branch_swap,30,0.0
international_declarations,CART,p_65,change_feature,30,0.0
international_declarations,CART,p_65,change_label,30,0.0
international_declarations,CART,p_65,change_threshold,30,0.0
international_declarations,CART,p_65,prune,30,0.0
international_declarations,CART,p_65,regrow_internal,30,0.0
international_declarations,CART,p_65,regrow_leaf,30,0.0
international_declarations,CART,p_68,branch_swap,30,0.0
international_declarations,CART,p_68,change_feature,30,3.3333333333333335
international_declarations,CART,p_68,change_label,30,0.0
international_declarations,CART,p_68,change_threshold,30,0.0
