dataset,algorithm,operator,n_trials,dominance_pct
international_declarations,C4.5,branch_swap,210,0.0
international_declarations,C4.5,change_feature,180,0.0
international_declarations,C4.5,change_label,540,0.0
international_declarations,C4.5,change_threshold,120,0.0
international_declarations,C4.5,prune,180,0.0
international_declarations,C4.5,regrow_internal,181,0.5524861878453038
international_declarations,C4.5,regrow_leaf,540,0.0
international_declarations,CART,branch_swap,210,0.0
international_declarations,CART,change_feature,180,0.5555555555555556
international_declarations,CART,change_label,540,0.0
international_declarations,CART,change_threshold,120,0.0
international_declarations,CART,prune,180,0.0
international_declarations,CART,regrow_internal,181,1.1049723756906076
international_declarations,CART,regrow_leaf,540,0.0
international_declarations,REPTree,branch_swap,210,0.0
international_declarations,REPTree,change_feature,180,0.0
international_declarations,REPTree,change_label,540,0.0
international_declarations,REPTree,change_threshold,120,0.0
international_declarations,REPTree,prune,180,0.0
international_declarations,REPTree,regrow_internal,181,0.5524861878453038
international_declarations,REPTree,regrow_leaf,540,0.0
