dataset,decision_point,view,mutation_type,not_applicable,n_breakpoints,n_seeds,n_trials_total,D_min,D_max,D_mean
international_declarations,p_12,overall,,False,96,30,121,0.0,0.24666666666666667,0.06692708333333335
international_declarations,p_17,overall,,False,120,30,60,0.0,0.5,0.13805555555555554
international_declarations,p_19,overall,,False,77,30,60,0.0,0.5,0.1041125541125541
international_declarations,p_21,overall,,False,84,30,60,0.0,0.5,0.10357142857142858
international_declarations,p_22,overall,,False,168,30,60,0.0,0.4666666666666667,0.14781746031746032
international_declarations,p_24,overall,,False,120,30,60,0.0,0.4666666666666667,0.11236111111111112
international_declarations,p_3,overall,,False,168,30,60,0.0,0.48333333333333334,0.06736111111111111
international_declarations,p_38,overall,,False,112,30,60,0.0,0.45,0.10714285714285714
international_declarations,p_50,overall,,False,77,30,60,0.0,0.5,0.1041125541125541
international_declarations,p_52,overall,,False,198,30,210,0.0,0.8523809523809527,0.2732323232323232
international_declarations,p_56,overall,,False,1020,30,210,0.0,0.8571428571428574,0.24360410830999069
international_declarations,p_58,overall,,False,468,30,180,0.0,0.8277777777777775,0.1467948717948718
international_declarations,p_63,overall,,False,96,30,60,0.0,0.5,0.09427083333333335
international_declarations,p_65,overall,,False,825,30,210,0.0,1.0,0.17602308802308803
international_declarations,p_68,overall,,False,768,30,210,-0.019047619047619053,1.0,0.20947420634920633
international_declarations,p_74,overall,,False,152,30,60,0.0,0.48333333333333334,0.14221491228070177
international_declarations,p_76,overall,,False,96,30,60,0.0,0.5,0.1017361111111111
international_declarations,p_9,overall,,False,1320,30,150,0.0,1.0,0.13007070707070714
