dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner
international_declarations,overall,CART,False,1951,1.579319681215172e-235,1.579319681215172e-235,0.15,0.14347701612903224,0.15623063597809392,RulesRepair
international_declarations,overall,J48,False,1891,6.685804157175566e-236,6.685804157175566e-236,0.16665,0.16022330973530133,0.16832318458995071,RulesRepair
international_declarations,overall,REPTree,False,1891,1.1697342966735983e-260,1.1697342966735983e-260,0.16273961238887807,0.15884810613088768,0.16665,RulesRepair
international_declarations,prune,CART,False,180,2.381600164396281e-21,2.381600164396281e-21,0.01612903225806453,0.01612903225806453,0.01612903225806453,RulesRepair
international_declarations,prune,J48,False,180,9.64627280339421e-22,9.64627280339421e-22,0.04838709677419353,0.01767036445366954,0.0523935070306038,RulesRepair
international_declarations,prune,REPTree,False,180,1.302296550044173e-26,1.302296550044173e-26,0.03225806451612906,0.0297929864553238,0.04540442036970299,RulesRepair
international_declarations,change_label,CART,False,540,6.494494166446537e-32,6.494494166446537e-32,0.01612903225806453,0.01612903225806453,0.01612903225806453,RulesRepair
international_declarations,change_label,J48,False,510,1.0559656533770769e-31,1.0559656533770769e-31,0.083325,0.083325,0.083325,RulesRepair
international_declarations,change_label,REPTree,False,510,3.871463779224993e-51,3.871463779224993e-51,0.08342126196685512,0.07986064246187069,0.08499818458995073,RulesRepair
international_declarations,branch_swap,CART,False,210,6.494494166446537e-32,6.494494166446537e-32,0.13356961447271756,0.13260537634408603,0.14962768817204303,RulesRepair
international_declarations,branch_swap,J48,False,210,1.0559656533770769e-31,1.0559656533770769e-31,0.16665,0.1470601217043674,0.16832318458995071,RulesRepair
international_declarations,branch_swap,REPTree,False,210,1.7054406343547177e-31,1.7054406343547177e-31,0.1440441159709704,0.1415459401709402,0.15130087276199375,RulesRepair
international_declarations,change_threshold,CART,False,120,3.158139626311358e-22,3.158139626311358e-22,0.16547600806451612,0.16430201612903225,0.19765380894069318,RulesRepair
international_declarations,change_threshold,J48,False,120,9.64627280339421e-22,9.64627280339421e-22,0.1752581039237644,0.17285923074889917,0.17765697709862963,RulesRepair
international_declarations,change_threshold,REPTree,False,120,9.64627280339421e-22,9.64627280339421e-22,0.16547600806451612,0.16430201612903225,0.16931182169745837,RulesRepair
international_declarations,change_feature,CART,False,180,7.407740749878711e-27,7.407740749878711e-27,0.13922006556245686,0.13687208169148912,0.1619540322580645,RulesRepair
international_declarations,change_feature,J48,False,180,1.3453964558825408e-26,1.3453964558825408e-26,0.1502270426610865,0.13922006556245686,0.1537744517125273,RulesRepair
international_declarations,change_feature,REPTree,False,180,1.3453964558825408e-26,1.3453964558825408e-26,0.15830484459882874,0.155956860727861,0.15906350949041648,RulesRepair
international_declarations,regrow_leaf,CART,False,540,1.36558118594423e-88,1.36558118594423e-88,0.273825,0.26388333333333336,0.28125,RulesRepair
international_declarations,regrow_leaf,J48,False,510,3.5603643796720596e-84,3.5603643796720596e-84,0.2889,0.27916267016624097,0.2975510249975719,RulesRepair
international_declarations,regrow_leaf,REPTree,False,510,1.8706101444143858e-84,1.8706101444143858e-84,0.285725,0.2768871634959522,0.29295773308622186,RulesRepair
international_declarations,regrow_internal,CART,False,181,3.8563272146620873e-31,3.8563272146620873e-31,0.28081169354838714,0.26589166666666664,0.29556451612903223,RulesRepair
international_declarations,regrow_internal,J48,False,181,3.9427195633405284e-31,3.9427195633405284e-31,0.270825,0.2563873031873423,0.28528077956989245,RulesRepair
international_declarations,regrow_internal,REPTree,False,181,2.720039508044329e-31,2.720039508044329e-31,0.25716862903225807,0.24323628024646865,0.27000328863935363,RulesRepair
