dataset,algorithm,operator,n_trials,dominance_pct
prepaid_travel_costs,C4.5,branch_swap,180,0.0
prepaid_travel_costs,C4.5,change_feature,150,0.0
prepaid_travel_costs,C4.5,change_label,390,0.0
prepaid_travel_costs,C4.5,change_threshold,90,0.0
prepaid_travel_costs,C4.5,prune,180,0.0
prepaid_travel_costs,C4.5,regrow_internal,180,0.0
prepaid_travel_costs,C4.5,regrow_leaf,390,0.0
prepaid_travel_costs,CART,branch_swap,180,0.0
prepaid_travel_costs,CART,change_feature,150,0.0
prepaid_travel_costs,CART,change_label,390,0.0
prepaid_travel_costs,CART,change_threshold,90,0.0
prepaid_travel_costs,CART,prune,180,0.0
prepaid_travel_costs,CART,regrow_internal,180,0.0
prepaid_travel_costs,CART,regrow_leaf,390,0.0
prepaid_travel_costs,REPTree,branch_swap,180,0.0
prepaid_travel_costs,REPTree,change_feature,150,0.0
prepaid_travel_costs,REPTree,change_label,390,0.0
prepaid_travel_costs,REPTree,change_threshold,90,0.0
prepaid_travel_costs,REPTree,prune,180,0.0
prepaid_travel_costs,REPTree,regrow_internal,180,0.0
prepaid_travel_costs,REPTree,regrow_leaf,390,0.0
