dataset,seed,decision_point,trial_id,operator,algorithm,front_size,n_dominated,d_i
production,0,p_100,s3_change_label_0,change_label,CART,148,0,0.0
production,0,p_100,s3_change_label_0,change_label,C4.5,148,0,0.0
production,0,p_100,s3_change_label_0,change_label,REPTree,148,0,0.0
production,0,p_100,s3_prune_0,prune,CART,149,0,0.0
production,0,p_100,s3_prune_0,prune,C4.5,149,0,0.0
production,0,p_100,s3_prune_0,prune,REPTree,149,0,0.0
production,0,p_100,s3_regrow_internal_0,regrow_internal,CART,149,0,0.0
production,0,p_100,s3_regrow_internal_0,regrow_internal,C4.5,149,0,0.0
production,0,p_100,s3_regrow_internal_0,regrow_internal,REPTree,149,0,0.0
production,0,p_100,s3_regrow_leaf_0,regrow_leaf,CART,149,0,0.0
production,0,p_100,s3_regrow_leaf_0,regrow_leaf,C4.5,149,0,0.0
production,0,p_100,s3_regrow_leaf_0,regrow_leaf,REPTree,149,0,0.0
production,0,p_18,s3_branch_swap_0,branch_swap,CART,73,0,0.0
production,0,p_18,s3_branch_swap_0,branch_swap,C4.5,73,0,0.0
production,0,p_18,s3_branch_swap_0,branch_swap,REPTree,73,0,0.0
production,0,p_18,s3_change_feature_0,change_feature,CART,72,0,0.0
production,0,p_18,s3_change_feature_0,change_feature,C4.5,72,0,0.0
production,0,p_18,s3_change_feature_0,change_feature,REPTree,72,0,0.0
production,0,p_18,s3_change_label_0,change_label,CART,73,0,0.0
production,0,p_18,s3_change_label_0,change_label,C4.5,73,0,0.0
production,0,p_18,s3_change_label_0,change_label,REPTree,73,0,0.0
production,0,p_18,s3_prune_0,prune,CART,72,0,0.0
production,0,p_18,s3_prune_0,prune,C4.5,72,0,0.0
production,0,p_18,s3_prune_0,prune,REPTree,72,0,0.0
production,0,p_18,s3_regrow_internal_0,regrow_internal,CART,72,0,0.0
production,0,p_18,s3_regrow_internal_0,regrow_internal,C4.5,72,0,0.0
production,0,p_18,s3_regrow_internal_0,regrow_internal,REPTree,72,0,0.0
production,0,p_18,s3_regrow_leaf_0,regrow_leaf,CART,73,0,0.0
production,0,p_18,s3_regrow_leaf_0,regrow_leaf,C4.5,73,0,0.0
production,0,p_18,s3_regrow_leaf_0,regrow_leaf,REPTree,73,0,0.0
production,0,p_26,s3_branch_swap_0,branch_swap,CART,144,0,0.0
production,0,p_26,s3_branch_swap_0,branch_swap,C4.5,144,0,0.0
production,0,p_26,s3_branch_swap_0,branch_swap,REPTree,144,0,0.0
production,0,p_26,s3_change_feature_0,change_feature,CART,149,0,0.0
production,0,p_26,s3_change_feature_0,change_feature,C4.5,149,0,0.0
production,0,p_26,s3_change_feature_0,change_feature,REPTree,149,0,0.0
production,0,p_26,s3_change_label_0,change_label,CART,143,0,0.0
production,0,p_26,s3_change_label_0,change_label,C4.5,143,0,0.0
production,0,p_26,s3_change_label_0,change_label,REPTree,143,0,0.0
production,0,p_26,s3_change_threshold_0,change_threshold,CART,149,0,0.0
production,0,p_26,s3_change_threshold_0,change_threshold,C4.5,149,0,0.0
production,0,p_26,s3_change_threshold_0,change_threshold,REPTree,149,0,0.0
production,0,p_26,s3_prune_0,prune,CART,141,0,0.0
production,0,p_26,s3_prune_0,prune,C4.5,141,0,0.0
production,0,p_26,s3_prune_0,prune,REPTree,141,0,0.0
production,0,p_26,s3_prune_1,prune,CART,145,0,0.0
production,0,p_26,s3_prune_1,prune,C4.5,145,0,0.0
production,0,p_26,s3_prune_1,prune,REPTree,145,0,0.0
production,0,p_26,s3_regrow_internal_0,regrow_internal,CART,145,0,0.0
production,0,p_26,s3_regrow_internal_0,regrow_internal,C4.5,145,0,0.0
production,0,p_26,s3_regrow_internal_0,regrow_internal,REPTree,145,0,0.0
production,0,p_26,s3_regrow_internal_1,regrow_internal,CART,141,0,0.0
production,0,p_26,s3_regrow_internal_1,regrow_internal,C4.5,141,0,0.0
production,0,p_26,s3_regrow_internal_1,regrow_internal,REPTree,141,0,0.0
production,0,p_26,s3_regrow_leaf_0,regrow_leaf,CART,144,0,0.0
production,0,p_26,s3_regrow_leaf_0,regrow_leaf,C4.5,144,0,0.0
production,0,p_26,s3_regrow_leaf_0,regrow_leaf,REPTree,144,0,0.0
production,0,p_30,s3_change_label_0,change_label,CART,208,0,0.0
production,0,p_30,s3_change_label_0,change_label,C4.5,208,0,0.0
production,0,p_30,s3_change_label_0,change_label,REPTree,208,0,0.0
production,0,p_30,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
production,0,p_30,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
production,0,p_30,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
production,0,p_32,s3_change_label_0,change_label,CART,64,0,0.0
production,0,p_32,s3_change_label_0,change_label,C4.5,64,0,0.0
production,0,p_32,s3_change_label_0,change_label,REPTree,64,0,0.0
production,0,p_32,s3_prune_0,prune,CART,51,0,0.0
production,0,p_32,s3_prune_0,prune,C4.5,51,0,0.0
production,0,p_32,s3_prune_0,prune,REPTree,51,0,0.0
production,0,p_32,s3_regrow_internal_0,regrow_internal,CART,57,0,0.0
