dataset,algorithm,decision_point,operator,n_trials,dominance_pct
production,C4.5,p_100,change_label,30,0.0
production,C4.5,p_100,prune,30,0.0
production,C4.5,p_100,regrow_internal,30,0.0
production,C4.5,p_100,regrow_leaf,30,0.0
production,C4.5,p_18,branch_swap,30,0.0
production,C4.5,p_18,change_feature,30,0.0
production,C4.5,p_18,change_label,30,0.0
production,C4.5,p_18,prune,30,0.0
production,C4.5,p_18,regrow_internal,30,0.0
production,C4.5,p_18,regrow_leaf,30,0.0
production,C4.5,p_26,branch_swap,30,0.0
production,C4.5,p_26,change_feature,30,0.0
production,C4.5,p_26,change_label,30,0.0
production,C4.5,p_26,change_threshold,30,0.0
production,C4.5,p_26,prune,60,0.0
production,C4.5,p_26,regrow_internal,60,1.6666666666666667
production,C4.5,p_26,regrow_leaf,30,0.0
production,C4.5,p_30,change_label,30,0.0
production,C4.5,p_30,regrow_leaf,30,0.0
production,C4.5,p_32,change_label,30,0.0
production,C4.5,p_32,prune,30,0.0
production,C4.5,p_32,regrow_internal,30,0.0
production,C4.5,p_32,regrow_leaf,30,0.0
production,C4.5,p_35,branch_swap,30,0.0
production,C4.5,p_35,change_feature,30,0.0
production,C4.5,p_35,change_label,30,0.0
production,C4.5,p_35,change_threshold,30,0.0
production,C4.5,p_35,prune,30,0.0
production,C4.5,p_35,regrow_internal,30,0.0
production,C4.5,p_35,regrow_leaf,30,0.0
production,C4.5,p_37,branch_swap,30,0.0
production,C4.5,p_37,change_feature,30,0.0
production,C4.5,p_37,change_label,30,0.0
production,C4.5,p_37,prune,30,0.0
production,C4.5,p_37,regrow_internal,30,0.0
production,C4.5,p_37,regrow_leaf,30,0.0
production,C4.5,p_40,branch_swap,30,0.0
production,C4.5,p_40,change_feature,30,0.0
production,C4.5,p_40,change_label,30,0.0
production,C4.5,p_40,change_threshold,30,0.0
production,C4.5,p_40,prune,30,0.0
production,C4.5,p_40,regrow_internal,30,0.0
production,C4.5,p_40,regrow_leaf,30,0.0
production,C4.5,p_42,branch_swap,30,0.0
production,C4.5,p_42,change_feature,30,0.0
production,C4.5,p_42,change_label,30,0.0
production,C4.5,p_42,change_threshold,30,0.0
production,C4.5,p_42,prune,30,0.0
production,C4.5,p_42,regrow_internal,30,0.0
production,C4.5,p_42,regrow_leaf,30,0.0
production,C4.5,p_44,change_label,30,0.0
production,C4.5,p_44,prune,30,0.0
production,C4.5,p_44,regrow_internal,30,0.0
production,C4.5,p_44,regrow_leaf,30,0.0
production,C4.5,p_5,branch_swap,30,0.0
production,C4.5,p_5,change_label,30,0.0
production,C4.5,p_5,prune,30,0.0
production,C4.5,p_5,regrow_internal,30,0.0
production,C4.5,p_5,regrow_leaf,30,0.0
production,C4.5,p_53,branch_swap,30,0.0
production,C4.5,p_53,change_feature,30,0.0
production,C4.5,p_53,change_label,30,0.0
production,C4.5,p_53,change_threshold,30,0.0
production,C4.5,p_53,prune,30,0.0
production,C4.5,p_53,regrow_internal,30,0.0
production,C4.5,p_53,regrow_leaf,30,0.0
production,C4.5,p_56,change_label,30,0.0
production,C4.5,p_56,prune,30,0.0
production,C4.5,p_56,regrow_internal,30,0.0
production,C4.5,p_56,regrow_leaf,30,0.0
production,C4.5,p_59,branch_swap,30,0.0
production,C4.5,p_59,change_feature,30,0.0
production,C4.5,p_59,change_label,30,0.0
production,C4.5,p_59,prune,30,0.0
production,C4.5,p_59,regrow_internal,30,0.0
production,C4.5,p_59,regrow_leaf,30,0.0
production,C4.5,p_61,change_label,30,0.0
production,C4.5,p_61,regrow_leaf,30,0.0
production,C4.5,p_63,branch_swap,30,0.0
production,C4.5,p_63,change_feature,30,0.0
production,C4.5,p_63,change_label,30,0.0
production,C4.5,p_63,prune,30,0.0
production,C4.5,p_63,regrow_internal,30,0.0
production,C4.5,p_63,regrow_leaf,30,0.0
production,C4.5,p_65,branch_swap,30,0.0
production,C4.5,p_65,change_feature,30,0.0
production,C4.5,p_65,change_label,30,0.0
production,C4.5,p_65,prune,30,0.0
production,C4.5,p_65,regrow_internal,30,0.0
production,C4.5,p_65,regrow_leaf,30,0.0
production,C4.5,p_66,change_label,30,0.0
production,C4.5,p_66,prune,30,0.0
production,C4.5,p_66,regrow_internal,30,0.0
production,C4.5,p_66,regrow_leaf,30,0.0
production,C4.5,p_67,branch_swap,30,0.0
production,C4.5,p_67,change_feature,30,0.0
production,C4.5,p_67,change_label,30,0.0
production,C4.5,p_67,prune,30,0.0
production,C4.5,p_67,regrow_internal,30,0.0
production,C4.5,p_67,regrow_leaf,30,0.0
production,C4.5,p_68,branch_swap,30,0.0
production,C4.5,p_68,change_feature,30,0.0
production,C4.5,p_68,change_label,30,0.0
production,C4.5,p_68,prune,30,0.0
production,C4.5,p_68,regrow_internal,30,0.0
production,C4.5,p_68,regrow_leaf,30,0.0
production,C4.5,p_73,branch_swap,30,0.0
production,C4.5,p_73,change_feature,30,0.0
production,C4.5,p_73,change_label,30,0.0
production,C4.5,p_73,prune,30,0.0
production,C4.5,p_73,regrow_internal,30,0.0
production,C4.5,p_73,regrow_leaf,30,0.0
production,C4.5,p_75,branch_swap,30,0.0
production,C4.5,p_75,change_feature,30,0.0
production,C4.5,p_75,change_label,30,0.0
production,C4.5,p_75,prune,30,0.0
production,C4.5,p_75,regrow_internal,30,0.0
production,C4.5,p_75,regrow_leaf,30,0.0
production,C4.5,p_76,branch_swap,30,0.0
production,C4.5,p_76,change_feature,30,0.0
production,C4.5,p_76,change_label,30,0.0
production,C4.5,p_76,change_threshold,30,0.0
production,C4.5,p_76,regrow_internal,30,0.0
production,C4.5,p_76,regrow_leaf,30,0.0
production,C4.5,p_78,branch_swap,30,0.0
production,C4.5,p_78,change_feature,30,0.0
production,C4.5,p_78,change_label,30,0.0
production,C4.5,p_78,change_threshold,30,0.0
production,C4.5,p_78,prune,60,0.0
production,C4.5,p_78,regrow_internal,60,0.0
production,C4.5,p_78,regrow_leaf,30,0.0
production,C4.5,p_81,branch_swap,30,0.0
production,C4.5,p_81,change_feature,30,0.0
production,C4.5,p_81,change_label,30,0.0
production,C4.5,p_81,prune,30,0.0
