dataset,algorithm,operator,n_trials,dominance_pct
production,C4.5,branch_swap,570,0.0
production,C4.5,change_feature,540,0.0
production,C4.5,change_label,780,0.0
production,C4.5,change_threshold,240,0.0
production,C4.5,prune,750,0.0
production,C4.5,regrow_internal,780,0.1282051282051282
production,C4.5,regrow_leaf,780,0.0
production,CART,branch_swap,570,0.0
production,CART,change_feature,540,0.3703703703703704
production,CART,change_label,780,0.0
production,CART,change_threshold,240,0.0
production,CART,prune,750,0.0
production,CART,regrow_internal,780,0.2564102564102564
production,CART,regrow_leaf,780,0.1282051282051282
production,REPTree,branch_swap,570,0.0
production,REPTree,change_feature,540,0.3703703703703704
production,REPTree,change_label,780,0.0
production,REPTree,change_threshold,240,0.0
production,REPTree,prune,750,0.0
production,REPTree,regrow_internal,780,0.0
production,REPTree,regrow_leaf,780,0.0
