dataset,decision_point,view,mutation_type,not_applicable,n_breakpoints,n_seeds,n_trials_total,D_min,D_max,D_mean
production,p_100,overall,,False,1620,30,120,0.0,1.0,0.1713014403292181
production,p_18,overall,,False,825,30,180,0.0,1.0,0.10488215488215487
production,p_26,overall,,False,16200,30,270,-0.022222222222222233,1.0,0.22858619112940107
production,p_30,overall,,False,128,30,60,0.0,0.48333333333333334,0.09036458333333333
production,p_32,overall,,False,660,30,120,0.0,1.0,0.12613636363636363
production,p_35,overall,,False,2208,30,210,0.0,1.0,0.4453178916494135
production,p_37,overall,,False,748,30,180,0.0,1.0,0.39019607843137255
production,p_40,overall,,False,1144,30,210,0.0,1.0,0.33138528138528145
production,p_42,overall,,False,396,30,210,0.0,0.8571428571428574,0.13356180856180852
production,p_44,overall,,False,960,30,120,0.0,1.0,0.20702256944444444
production,p_5,overall,,False,560,30,150,0.0,1.0,0.12645238095238098
production,p_53,overall,,False,320,30,210,0.0,0.9333333333333335,0.3936160714285715
production,p_56,overall,,False,1248,30,120,0.0,1.0,0.22849893162393164
production,p_59,overall,,False,1705,30,180,0.0,1.0,0.37313457152166823
production,p_61,overall,,False,192,30,60,0.0,0.4666666666666667,0.09288194444444446
production,p_63,overall,,False,891,30,180,-0.12222222222222216,1.0,0.20649083426861206
production,p_65,overall,,False,4620,30,180,0.0,1.0,0.45418951418951425
production,p_66,overall,,False,2240,30,120,-0.5,1.0,0.0686123511904762
production,p_67,overall,,False,3528,30,180,0.0,1.0,0.3799146510456034
production,p_68,overall,,False,1296,30,180,0.0,1.0,0.2700531550068587
production,p_73,overall,,False,414,30,180,0.0,1.0,0.15677670424047235
production,p_75,overall,,False,4512,30,180,0.0,1.0,0.3746700157604413
production,p_76,overall,,False,4620,30,180,0.0,1.0,0.3628848003848004
production,p_78,overall,,False,3432,30,270,0.0,1.0,0.2722103513770181
production,p_81,overall,,False,1452,30,180,0.0,1.0,0.42488521579430666
production,p_95,overall,,False,3680,30,210,0.0,1.0,0.3187111801242236
