dataset,algorithm,decision_point,operator,n_trials,median_delta_accuracy,q1_delta_accuracy,q3_delta_accuracy,median_delta_simplicity,q1_delta_simplicity,q3_delta_simplicity,median_delta_similarity,q1_delta_similarity,q3_delta_similarity
road_traffic,C4.5,p_10,regrow_leaf,4,0.005032143648858289,0.0036577255597428082,0.005420084238527967,0.06451612903225801,0.06451612903225801,0.08064516129032254,0.0,0.0,0.0
road_traffic,C4.5,p_13,regrow_leaf,2,0.001184091383993835,0.0011492651668175424,0.0012189176011701275,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,C4.5,p_8,change_feature,4,0.0031847133757961776,0.0031847133757961776,0.0031847133757961776,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,CART,p_8,change_feature,13,0.0005866577271204099,0.0005866577271204099,0.0051961112973516466,0.12903225806451624,0.12903225806451624,0.19354838709677424,0.0,0.0,0.0
road_traffic,CART,p_8,regrow_internal,4,0.0041066040898423695,0.0016552128729467042,0.00620181025812927,0.03225806451612906,0.0,0.08064516129032265,0.0,0.0,0.0
road_traffic,REPTree,p_10,regrow_leaf,4,0.005032143648858289,0.0036577255597428082,0.005420084238527967,0.06451612903225801,0.06451612903225801,0.08064516129032254,0.0,0.0,0.0
road_traffic,REPTree,p_8,branch_swap,30,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,REPTree,p_8,change_feature,13,8.380824673159815e-05,8.380824673159815e-05,0.004693261816962835,0.19354838709677424,0.19354838709677424,0.25806451612903225,0.0,0.0,0.0
road_traffic,REPTree,p_8,change_label,30,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,REPTree,p_8,regrow_internal,4,0.0036037546094535577,0.0011523633925578924,0.005698960777740458,0.09677419354838707,0.06451612903225801,0.14516129032258066,0.0,0.0,0.0
road_traffic,REPTree,p_8,regrow_leaf,30,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0
