dataset,mine_algorithm,trial_id,seed,decision_point,mutation_type,n_dominated,median_delta_accuracy,median_delta_similarity,median_delta_simplicity
road_traffic,REPTree,s3_branch_swap_0,0,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,0,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,0,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,1,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,1,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,1,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,10,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,10,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,10,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,11,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,11,p_8,change_feature,4,0.0051961112973516466,0.0,0.19354838709677424
road_traffic,C4.5,s3_change_feature_0,11,p_8,change_feature,4,0.0031847133757961776,0.0,0.0
road_traffic,REPTree,s3_change_feature_0,11,p_8,change_feature,4,0.004693261816962835,0.0,0.25806451612903225
road_traffic,REPTree,s3_change_label_0,11,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,11,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,12,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,12,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,12,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,12,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,12,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,13,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,13,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_regrow_internal_0,13,p_8,regrow_internal,19,0.00620181025812927,0.0,0.0
road_traffic,REPTree,s3_regrow_internal_0,13,p_8,regrow_internal,19,0.005698960777740458,0.0,0.06451612903225801
road_traffic,REPTree,s3_regrow_leaf_0,13,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,14,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,14,p_8,change_feature,4,0.0051961112973516466,0.0,0.19354838709677424
road_traffic,C4.5,s3_change_feature_0,14,p_8,change_feature,4,0.0031847133757961776,0.0,0.0
road_traffic,REPTree,s3_change_feature_0,14,p_8,change_feature,4,0.004693261816962835,0.0,0.25806451612903225
road_traffic,REPTree,s3_change_label_0,14,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_regrow_internal_0,14,p_8,regrow_internal,11,0.002011397921555469,0.0,0.06451612903225812
road_traffic,REPTree,s3_regrow_internal_0,14,p_8,regrow_internal,11,0.0015085484411666572,0.0,0.12903225806451613
road_traffic,REPTree,s3_regrow_leaf_0,14,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,15,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,15,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,15,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,16,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,16,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,16,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,16,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,16,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,17,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,17,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,17,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,17,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,17,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,18,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,18,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,18,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,19,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,19,p_8,change_feature,4,0.0051961112973516466,0.0,0.19354838709677424
road_traffic,C4.5,s3_change_feature_0,19,p_8,change_feature,4,0.0031847133757961776,0.0,0.0
road_traffic,REPTree,s3_change_feature_0,19,p_8,change_feature,4,0.004693261816962835,0.0,0.25806451612903225
road_traffic,REPTree,s3_change_label_0,19,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,19,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,2,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,2,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,2,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,2,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,2,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,20,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,20,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,20,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,20,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_regrow_internal_0,20,p_8,regrow_internal,21,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_regrow_internal_0,20,p_8,regrow_internal,21,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_regrow_leaf_0,20,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,21,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,21,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,21,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,22,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,22,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,22,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,23,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,23,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_regrow_internal_0,23,p_8,regrow_internal,1,0.00620181025812927,0.0,0.0
road_traffic,REPTree,s3_regrow_internal_0,23,p_8,regrow_internal,1,0.005698960777740458,0.0,0.06451612903225801
road_traffic,REPTree,s3_regrow_leaf_0,23,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,24,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,24,p_8,change_feature,4,0.0051961112973516466,0.0,0.19354838709677424
road_traffic,C4.5,s3_change_feature_0,24,p_8,change_feature,4,0.0031847133757961776,0.0,0.0
road_traffic,REPTree,s3_change_feature_0,24,p_8,change_feature,4,0.004693261816962835,0.0,0.25806451612903225
road_traffic,REPTree,s3_change_label_0,24,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,24,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,25,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,25,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,25,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,26,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,26,p_8,change_feature,1,0.0038551793496480746,0.0,0.06451612903225812
road_traffic,REPTree,s3_change_feature_0,26,p_8,change_feature,1,0.003352329869259263,0.0,0.12903225806451613
road_traffic,REPTree,s3_change_label_0,26,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,26,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,27,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,27,p_8,change_feature,1,0.0038551793496480746,0.0,0.06451612903225812
road_traffic,REPTree,s3_change_feature_0,27,p_8,change_feature,1,0.003352329869259263,0.0,0.12903225806451613
road_traffic,REPTree,s3_change_label_0,27,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,27,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,C4.5,s3_regrow_leaf_0,28,p_10,regrow_leaf,11,0.004788295278208787,0.0,0.06451612903225801
road_traffic,REPTree,s3_regrow_leaf_0,28,p_10,regrow_leaf,11,0.004788295278208787,0.0,0.06451612903225801
road_traffic,REPTree,s3_branch_swap_0,28,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,28,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,28,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,C4.5,s3_regrow_leaf_0,29,p_10,regrow_leaf,1,0.005852360895588493,0.0,0.06451612903225801
road_traffic,REPTree,s3_regrow_leaf_0,29,p_10,regrow_leaf,1,0.005852360895588493,0.0,0.06451612903225801
road_traffic,C4.5,s3_regrow_leaf_0,29,p_13,regrow_leaf,6,0.00111443894964125,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,29,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,29,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,29,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,3,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,3,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,3,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,C4.5,s3_regrow_leaf_0,4,p_10,regrow_leaf,13,0.00026601640434487095,0.0,0.12903225806451613
road_traffic,REPTree,s3_regrow_leaf_0,4,p_10,regrow_leaf,13,0.00026601640434487095,0.0,0.12903225806451613
road_traffic,REPTree,s3_branch_swap_0,4,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,4,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,4,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,5,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,5,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,5,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,6,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,6,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,6,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,6,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,6,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,7,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,7,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,7,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,C4.5,s3_regrow_leaf_0,8,p_10,regrow_leaf,5,0.005275992019507791,0.0,0.06451612903225801
road_traffic,REPTree,s3_regrow_leaf_0,8,p_10,regrow_leaf,5,0.005275992019507791,0.0,0.06451612903225801
road_traffic,REPTree,s3_branch_swap_0,8,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,CART,s3_change_feature_0,8,p_8,change_feature,9,0.0005866577271204099,0.0,0.12903225806451624
road_traffic,REPTree,s3_change_feature_0,8,p_8,change_feature,9,8.380824673159815e-05,0.0,0.19354838709677424
road_traffic,REPTree,s3_change_label_0,8,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,8,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
road_traffic,C4.5,s3_regrow_leaf_0,9,p_13,regrow_leaf,2,0.00125374381834642,0.0,0.0
road_traffic,REPTree,s3_branch_swap_0,9,p_8,branch_swap,31,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_change_label_0,9,p_8,change_label,8,8.380824673159815e-05,0.0,0.0
road_traffic,REPTree,s3_regrow_leaf_0,9,p_8,regrow_leaf,8,8.380824673159815e-05,0.0,0.0
