group,n_trials,median,q1,q3,iqr,mean,scope
hospital_billing,2578,0.0,0.0,0.0,0.0,0.003786267566665318,dataset
international_declarations,1800,0.0,0.0,0.0,0.0,0.0007905835536704229,dataset
prepaid_travel_costs,1560,0.0,0.0,0.0,0.0,0.0020779565334588614,dataset
production,4412,0.0,0.0,0.0,0.0,0.015630786833869093,dataset
road_traffic,930,0.0,0.0,0.0,0.0,0.0017890580863363908,dataset
sepsis,2010,0.0,0.0,0.0,0.0,0.01106668989356904,dataset
branch_swap,1650,0.0,0.0,0.0,0.0,0.003638691318838256,operator
change_feature,1560,0.0,0.0,0.0,0.0,0.004234880628922328,operator
change_label,2790,0.0,0.0,0.0,0.0,0.01066688242364942,operator
change_threshold,810,0.0,0.0,0.0,0.0,0.0030477933918412023,operator
prune,1830,0.0,0.0,0.0,0.0,0.006451816376642394,operator
regrow_internal,1858,0.0,0.0,0.0,0.0,0.010665809137898408,operator
regrow_leaf,2792,0.0,0.0,0.0,0.0,0.011043372556954428,operator
OVERALL,13290,0.0,0.0,0.0,0.0,0.008073481007754913,overall
p_10,120,0.0,0.0,0.0,0.0,0.00020305470044991667,decision_point
p_100,120,0.0,0.0,0.0016025641025641,0.0016025641025641,0.0016025641025641001,decision_point
p_12,690,0.0,0.0,0.0,0.0,0.0007208264464147383,decision_point
p_13,330,0.0,0.0,0.0,0.0,0.0010220208562033573,decision_point
p_14,180,0.0,0.0,0.0,0.0,0.00296055955538714,decision_point
p_15,60,0.0,0.0,0.0,0.0,0.003185639630570147,decision_point
p_16,270,0.0,0.0,0.0,0.0,0.0017461090528723372,decision_point
p_17,270,0.0,0.0,0.0,0.0,0.0015163144772226366,decision_point
p_18,390,0.0,0.0,0.0,0.0,0.0021109451277049043,decision_point
p_19,60,0.0,0.0,0.0,0.0,0.0,decision_point
p_21,60,0.0,0.0,0.0,0.0,0.0006504524886877817,decision_point
p_22,450,0.0,0.0,0.0,0.0,0.0007216982295306547,decision_point
p_23,420,0.0,0.0,0.0,0.0,0.0015453296703296692,decision_point
p_24,60,0.0,0.0,0.0,0.0,0.00016025641025641,decision_point
p_25,60,0.0,0.0,0.0,0.0,8.0128205128205e-05,decision_point
p_26,270,0.0,0.0,0.0,0.0,0.0,decision_point
p_27,480,0.0,0.0,0.0195121951219512,0.0195121951219512,0.009987743806804329,decision_point
p_28,390,0.0,0.0,0.0,0.0,0.009294318883073487,decision_point
p_29,210,0.0,0.0,0.0,0.0,0.00041208791208791144,decision_point
p_3,60,0.0,0.0,0.0,0.0,0.000816993464052285,decision_point
p_30,60,0.0,0.0,0.0,0.0,8.0128205128205e-05,decision_point
p_31,300,0.0,0.0,0.0,0.0,0.00012961225766103802,decision_point
p_32,120,0.0,0.0,0.0,0.0,0.0,decision_point
p_33,360,0.0,0.0,0.0,0.0,0.001613747842196117,decision_point
p_35,630,0.0,0.0,0.0,0.0,0.023988844262683853,decision_point
p_37,180,0.0,0.0,0.0,0.0,0.0,decision_point
p_38,180,0.0,0.0,0.0,0.0,0.00013354700854700834,decision_point
p_39,180,0.0,0.0,0.0,0.0,0.0,decision_point
p_4,480,0.0,0.0,0.0,0.0,0.0008412095328655423,decision_point
p_40,210,0.0,0.0,0.0,0.0,0.0025725232621784345,decision_point
p_41,180,0.0,0.0,0.0,0.0,0.0,decision_point
p_42,360,0.0,0.0,0.0,0.0,0.014239945252052574,decision_point
p_44,120,0.0,0.0,0.0,0.0,0.01571588470170712,decision_point
p_5,150,0.0,0.0,0.0,0.0,0.0,decision_point
p_50,60,0.0,0.0,0.0,0.0,0.0,decision_point
p_52,210,0.0,0.0,0.0,0.0,0.0001629497953027362,decision_point
p_53,210,0.0,0.0,0.0,0.0,0.005677655677655677,decision_point
p_56,330,0.0,0.0,0.0,0.0,0.0483220416814864,decision_point
p_58,180,0.0,0.0,0.0,0.0,0.0004603443941679228,decision_point
p_59,180,0.0,0.0,0.0,0.0,0.0,decision_point
p_6,389,0.0,0.0,0.0,0.0,0.0003954913980620915,decision_point
p_61,60,0.0,0.0,0.0,0.0,8.0128205128205e-05,decision_point
p_63,240,0.0,0.0,0.0,0.0,0.0016490699016914905,decision_point
p_65,389,0.0,0.0,0.0,0.0,0.0,decision_point
p_66,120,0.0,0.0,0.0,0.0,0.0011618589743589741,decision_point
p_67,180,0.0,0.0,0.0,0.0,0.0,decision_point
p_68,240,0.0,0.0,0.0,0.0,0.0011706046783890312,decision_point
p_73,180,0.0,0.0,0.0,0.0,8.169934640522778e-05,decision_point
p_74,60,0.0,0.0,0.0,0.0,0.0036725902521563053,decision_point
p_75,180,0.0,0.0,0.0,0.0,0.0,decision_point
p_76,242,0.0,0.0,0.0,0.0,0.005894835495543721,decision_point
p_78,270,0.2450331125827814,0.0,0.3448275862068966,0.3448275862068966,0.1762261760149621,decision_point
p_8,450,0.0,0.0,0.0,0.0,0.0032054316727053857,decision_point
p_81,180,0.0,0.0,0.0,0.0,0.0004185692541856922,decision_point
p_9,210,0.0,0.0,0.0,0.0,0.004906000259352081,decision_point
p_95,210,0.0,0.0,0.0,0.0,0.0,decision_point
source,60,0.0,0.0,0.0,0.0,0.00827069076393574,decision_point
