dataset,mine_algorithm,mutation_type,n_trials_with_dominance,bootstrap_flagged_low_n,median_of_median_delta_accuracy,q1_of_median_delta_accuracy,q3_of_median_delta_accuracy,boot_ci95_lo_delta_accuracy,boot_ci95_hi_delta_accuracy,median_of_median_delta_similarity,q1_of_median_delta_similarity,q3_of_median_delta_similarity,boot_ci95_lo_delta_similarity,boot_ci95_hi_delta_similarity,median_of_median_delta_simplicity,q1_of_median_delta_simplicity,q3_of_median_delta_simplicity,boot_ci95_lo_delta_simplicity,boot_ci95_hi_delta_simplicity
production,CART,change_label,90,False,0.0,0.0,0.08571428571428563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19354838709677424,0.12903225806451601,0.32258064516129037,0.19354838709677424,0.19354838709677424
production,C4.5,change_label,60,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,REPTree,change_label,134,False,0.0,0.0,0.02564102564102566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.12903225806451613,0.25806451612903225
production,C4.5,regrow_leaf,66,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,REPTree,regrow_leaf,133,False,0.0,0.0,0.02564102564102566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.12903225806451613,0.25806451612903225
production,CART,change_feature,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451624,0.12903225806451624,0.30645161290322587,0.12903225806451618,0.32258064516129037
production,REPTree,change_feature,47,False,0.0,0.0,0.02564102564102566,0.0,0.02564102564102566,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451624,0.12903225806451613,0.12903225806451613
production,CART,change_threshold,9,True,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.12903225806451624,0.12903225806451624,0.12903225806451624,,
production,REPTree,change_threshold,49,False,0.0,0.0,0.02564102564102566,0.0,0.02564102564102566,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.06451612903225801,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,CART,prune,30,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32258064516129037,0.32258064516129037,0.32258064516129037,0.32258064516129037,0.32258064516129037
production,REPTree,prune,84,False,0.0,0.0,0.039999999999999925,0.0,0.02564102564102566,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.32258064516129037,0.12903225806451613,0.12903225806451613
production,CART,regrow_internal,65,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19354838709677424,0.12903225806451624,0.32258064516129037,0.19354838709677424,0.32258064516129037
production,REPTree,regrow_internal,106,False,0.0,0.0,0.039999999999999925,0.0,0.039999999999999925,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.32258064516129037,0.12903225806451613,0.12903225806451624
production,CART,regrow_leaf,67,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19354838709677413,0.12903225806451601,0.32258064516129037,0.12903225806451601,0.32258064516129037
production,C4.5,branch_swap,35,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,REPTree,branch_swap,72,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,C4.5,regrow_internal,49,False,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,C4.5,prune,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
production,CART,branch_swap,5,True,0.16000000000000003,0.16000000000000003,0.16000000000000003,,,0.0,0.0,0.0,,,0.3870967741935484,0.3870967741935484,0.3870967741935484,,
production,C4.5,change_feature,7,True,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.32258064516129037,0.2903225806451613,0.32258064516129037,,
