dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner,p_holm_per_baseline_family1
sepsis,overall,CART,False,2010,0.0,0.0,1.0,large,0.2138338084704467,0.209876221825298,0.2190943548387096,2.007648703329656,2.007648703329656,regular,0.2126448518869774,0.1059173607087281,KR,0.0
sepsis,overall,J48,False,2010,0.0,0.0,1.0,large,0.3124804641365762,0.3058927240117852,0.3193002513138891,2.093542137902725,2.093542137902725,regular,0.3174248645869416,0.1516209580118279,KR,0.0
sepsis,overall,REPTree,False,2010,0.0,0.0,1.0,large,0.1794052320914926,0.1749751481175317,0.1857949704955699,1.6187503094791325,1.6187503094791325,regular,0.1816096476085746,0.1121912666487838,KR,0.0
sepsis,prune,CART,False,300,4.133144232312745e-51,8.26628846462549e-51,1.0,large,0.1613291051477566,0.1505764169757136,0.1775434858898016,1.7913161710531216,1.7913161710531216,regular,0.1634175002295074,0.0912276140137972,KR,4.133144232312745e-51
sepsis,prune,J48,False,300,4.898194540584457e-51,8.26628846462549e-51,1.0,large,0.2726112699060841,0.252010800837266,0.2925343677691575,1.7473194402884844,1.7473194402884844,regular,0.2819963492211926,0.1613879767597816,KR,4.898194540584457e-51
sepsis,prune,REPTree,False,300,1.3648482018756557e-51,4.094544605626967e-51,1.0,large,0.064516129032258,0.0483870967741935,0.1137275735852541,0.9575106319324944,0.9575106319324944,regular,0.0980696009562346,0.1024214224737179,KR,1.3648482018756557e-51
sepsis,change_label,CART,False,360,5.320749530234773e-56,1.0641499060469545e-55,1.0,large,0.1935483870967742,0.1775434858898016,0.2048703096330217,1.630738569749545,1.630738569749545,regular,0.193280850836179,0.1185235048839642,KR,5.320749530234773e-56
sepsis,change_label,J48,False,360,6.015897457321333e-56,1.0641499060469545e-55,1.0,large,0.3034982831778593,0.281130181189487,0.3122984631034597,1.8092572378774017,1.8092572378774017,regular,0.3039517458828266,0.1679980820413459,KR,6.015897457321333e-56
sepsis,change_label,REPTree,False,360,3.4262106326347024e-56,1.0278631897904106e-55,1.0,large,0.1970525735852541,0.185454470481667,0.198908064516129,1.8635566109141828,1.8635566109141828,regular,0.1928864952916937,0.1035045000307619,KR,3.4262106326347024e-56
sepsis,branch_swap,CART,False,270,3.2502951562300954e-46,6.500590312460191e-46,1.0,large,0.1918342995425912,0.1737072610907721,0.2084452712763284,1.9217257153260965,1.9217257153260965,regular,0.1874839790117748,0.0975602176296843,KR,3.2502951562300954e-46
sepsis,branch_swap,J48,False,270,4.0092128196014766e-46,6.500590312460191e-46,1.0,large,0.299015635012142,0.2783940016033618,0.3229622111518718,1.8930132303945757,1.8930132303945757,regular,0.3045505227915212,0.160881349322657,KR,4.0092128196014766e-46
sepsis,branch_swap,REPTree,False,270,1.7228933977914695e-46,5.168680193374409e-46,1.0,large,0.1424769361933472,0.1386848255368865,0.1669106319884994,1.3964109219312442,1.3964109219312442,regular,0.1545700547231426,0.1106909522802724,KR,1.7228933977914695e-46
sepsis,change_threshold,CART,False,150,7.125876503806905e-27,1.425175300761381e-26,1.0,large,0.1952641002116503,0.1821217278060811,0.2066342323722897,2.3112806939796955,2.3112806939796955,regular,0.1967531318327688,0.0851273202537715,KR,7.125876503806905e-27
sepsis,change_threshold,J48,False,150,1.4291981181853858e-26,1.4291981181853858e-26,1.0,large,0.3106514454928732,0.2775416765835496,0.3274091896234002,2.3533427212380023,2.3533427212380023,regular,0.308741955651549,0.1311929422201335,KR,1.4291981181853858e-26
sepsis,change_threshold,REPTree,False,150,7.894710006034491e-28,2.3684130018103472e-27,1.0,large,0.1459233870967742,0.1459233870967742,0.1459233870967742,2.1218360245705234,2.1218360245705234,regular,0.1579514325026595,0.074440923178609,KR,7.894710006034491e-28
sepsis,change_feature,CART,False,270,4.192601465751015e-46,1.0881465612764073e-45,1.0,large,0.2099975836714172,0.2066342323722896,0.224568357032115,2.098758451221639,2.098758451221639,regular,0.2159148540604587,0.102877419712011,KR,4.192601465751015e-46
sepsis,change_feature,J48,False,270,4.391749712895543e-46,1.0881465612764073e-45,1.0,large,0.3177071387320916,0.2969735915298035,0.3374483150832498,2.146673384596391,2.146673384596391,regular,0.3255746947746877,0.1516647558547436,KR,4.391749712895543e-46
sepsis,change_feature,REPTree,False,270,3.627155204254691e-46,1.0881465612764073e-45,1.0,large,0.1749751481175317,0.154298245267242,0.1889047281674928,1.5689664089624091,1.5689664089624091,regular,0.176970845329174,0.112794540608558,KR,3.627155204254691e-46
sepsis,regrow_leaf,CART,False,360,1.364683583233537e-60,4.0819421040999987e-60,1.0,large,0.2651793228612349,0.2552701612903226,0.2745220077478522,2.8340362814582254,2.8340362814582254,regular,0.2632093062096967,0.0928743601243753,KR,1.364683583233537e-60
sepsis,regrow_leaf,J48,False,360,1.3659003266631708e-60,4.0819421040999987e-60,1.0,large,0.3462604105113217,0.3333028898023138,0.3590989904727403,2.7209187336908416,2.7209187336908416,regular,0.352067883784538,0.1293930169340151,KR,1.3659003266631708e-60
sepsis,regrow_leaf,REPTree,False,360,1.360647368033333e-60,4.0819421040999987e-60,1.0,large,0.2553925160916106,0.2452121471314326,0.2651568511488903,2.81911301136778,2.81911301136778,regular,0.2537195555549705,0.0899997816802209,KR,1.360647368033333e-60
sepsis,regrow_internal,CART,False,300,6.050382410665495e-51,1.803679109167743e-50,1.0,large,0.2503440395976097,0.2385377169807893,0.2611841055172684,2.532689528396981,2.532689528396981,regular,0.2520793032767959,0.0995302821172656,KR,6.050382410665495e-51
sepsis,regrow_internal,J48,False,300,6.056632245548525e-51,1.803679109167743e-50,1.0,large,0.3293039016172003,0.3141706927542444,0.3453349068348466,2.4804865084704444,2.4804865084704444,regular,0.336043014275116,0.1354746389982713,KR,6.056632245548525e-51
sepsis,regrow_internal,REPTree,False,300,6.01226369722581e-51,1.803679109167743e-50,1.0,large,0.20299932543751,0.190283380036867,0.215955376344086,1.9310041786366563,1.9310041786366563,regular,0.2054252507068038,0.1063826028858414,KR,6.01226369722581e-51
production,overall,CART,False,4412,0.0,0.0,1.0,large,0.3397435893812498,0.3361620463659382,0.3436791718493586,2.1599147539760835,2.1599147539760835,regular,0.3534335135083893,0.1636330845269566,KR,0.0
