dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner
international_declarations,overall,CART,False,1800,5.107474574629732e-206,5.107474574629732e-206,1.0,large,0.16352768817204302,0.15024461447271756,0.166675,1.2084222555010862,1.2084222555010862,regular,0.1586943735770354,0.131323610480205,KR
international_declarations,overall,J48,False,1740,1.7528118419038516e-206,1.7528118419038516e-206,1.0,large,0.166675,0.16665,0.17338709677419353,1.2971404461371372,1.2971404461371372,regular,0.166892861355976,0.12866213666606433,KR
international_declarations,overall,REPTree,False,1740,2.708226494742976e-226,2.708226494742976e-226,1.0,large,0.16832318458995071,0.16582903225806453,0.17593333333333336,1.3785559089502781,1.3785559089502781,regular,0.16938052682746058,0.12286808661713103,KR
international_declarations,prune,CART,False,150,9.485737571073745e-15,9.485737571073745e-15,1.0,large,0.01612903225806453,0.01612903225806453,0.01612903225806453,0.8137703743822468,0.8137703743822468,regular,0.012903225806451622,0.01585610168746531,KR
international_declarations,prune,J48,False,150,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.04838709677419353,0.04838709677419353,0.05307330973530133,0.9935336374492414,0.9935336374492414,regular,0.04621408282008868,0.04651486479988425,KR
international_declarations,prune,REPTree,False,150,9.64627280339421e-22,9.64627280339421e-22,1.0,large,0.062461897314920356,0.05307330973530133,0.0634809323448875,1.4585272810771084,1.4585272810771084,regular,0.05891026928906618,0.04039024161794321,KR
international_declarations,change_label,CART,False,540,6.478490969587054e-27,6.478490969587054e-27,1.0,large,0.0,0.0,0.05024461447271756,0.604340972658454,0.604340972658454,regular,0.04439224362483613,0.0734556246113146,CART
international_declarations,change_label,J48,False,510,6.478490969587054e-27,6.478490969587054e-27,1.0,large,0.083325,0.0,0.083325,0.6368355849456651,0.6368355849456651,regular,0.054447541008052394,0.08549701413544263,KR
international_declarations,change_label,REPTree,False,510,2.8210382519219104e-41,2.8210382519219104e-41,1.0,large,0.07774142779892738,0.03229518527561563,0.07774142779892738,0.7765035839122576,0.7765035839122576,regular,0.06315962156618579,0.08133848043297973,KR
international_declarations,branch_swap,CART,False,180,6.478490969587054e-27,6.478490969587054e-27,1.0,large,0.14580913060174983,0.13356961447271756,0.16665,2.0121487551131083,2.0121487551131083,regular,0.13366911230134165,0.06643102899906014,KR
international_declarations,branch_swap,J48,False,180,6.478490969587054e-27,6.478490969587054e-27,1.0,large,0.16832318458995071,0.16665,0.17888951612903226,2.14027960136572,2.14027960136572,regular,0.15296874970202662,0.07147138607704186,KR
international_declarations,branch_swap,REPTree,False,180,1.302296550044173e-26,1.302296550044173e-26,1.0,large,0.16832318458995071,0.16273961238887813,0.17330594392795964,2.1212670959937796,2.1212670959937796,regular,0.15110755896833575,0.07123457449263092,KR
international_declarations,change_threshold,CART,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.20388951612903228,0.20388951612903228,0.23335358562332184,6.357530158328618,6.357530158328618,regular,0.2137108726271288,0.03361539266111998,KR
international_declarations,change_threshold,J48,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.22001854838709678,0.1890748005407268,0.22001854838709678,4.538124034571623,4.538124034571623,regular,0.2097039657716401,0.046209394933700874,KR
international_declarations,change_threshold,REPTree,False,90,6.639679363007341e-17,6.639679363007341e-17,1.0,large,0.22001854838709678,0.1890748005407268,0.22001854838709678,4.538124034571623,4.538124034571623,regular,0.2097039657716401,0.046209394933700874,KR
international_declarations,change_feature,CART,False,150,9.64627280339421e-22,9.64627280339421e-22,1.0,large,0.16665,0.13922006556245686,0.17257185837411776,1.6888119521833604,1.6888119521833604,regular,0.15058454980126,0.0891659664100426,KR
international_declarations,change_feature,J48,False,150,9.64627280339421e-22,9.64627280339421e-22,1.0,large,0.15043246583282027,0.13922006556245686,0.16665,1.6314747351120913,1.6314747351120913,regular,0.1481804056879668,0.09082604989147196,KR
international_declarations,change_feature,REPTree,False,150,9.64627280339421e-22,9.64627280339421e-22,1.0,large,0.16665,0.16141149336138422,0.17262389363174763,1.7652107974409121,1.7652107974409121,regular,0.15705697680753777,0.08897349655646157,KR
international_declarations,regrow_leaf,CART,False,540,1.323609301440161e-88,1.323609301440161e-88,1.0,large,0.285725,0.277775,0.294,3.2434472129175695,3.2434472129175695,regular,0.2801145325078339,0.08636321608448908,KR
international_declarations,regrow_leaf,J48,False,510,3.4512236806380034e-84,3.4512236806380034e-84,1.0,large,0.29285,0.2833333333333333,0.3,3.415639301865043,3.415639301865043,regular,0.28559203809311373,0.08361305537653575,KR
international_declarations,regrow_leaf,REPTree,False,510,1.8087061520657167e-84,1.8087061520657167e-84,1.0,large,0.28731803385247134,0.27829888648940476,0.29525237873629495,3.3172805424747516,3.3172805424747516,regular,0.282373918106221,0.08512210965900548,KR
international_declarations,regrow_internal,CART,False,150,4.702129657753573e-26,4.702129657753573e-26,1.0,large,0.29285,0.275,0.30687133326101157,3.4158776308906607,3.4158776308906607,regular,0.28399085490121334,0.0831384743800571,KR
international_declarations,regrow_internal,J48,False,150,4.801647424480037e-26,4.801647424480037e-26,1.0,large,0.281478052717113,0.26838306451612903,0.29464999999999997,3.3793260111314503,3.3793260111314503,regular,0.2760432551718854,0.08168589069613377,KR
international_declarations,regrow_internal,REPTree,False,150,3.332274101719272e-26,3.332274101719272e-26,1.0,large,0.27049986702715123,0.25717429662281,0.28264358673934087,3.3873326260007164,3.3873326260007164,regular,0.2668813799907687,0.07878806407797764,KR
