dataset,mine_algorithm,trial_id,seed,decision_point,mutation_type,n_dominated,median_delta_accuracy,median_delta_similarity,median_delta_simplicity
sepsis,CART,s3_branch_swap_0,0,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,1,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,10,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,11,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,12,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,13,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,14,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,15,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_change_feature_0,15,p_35,change_feature,25,0.056962025316455556,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,16,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,17,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,18,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_change_feature_0,18,p_35,change_feature,10,0.006329113924050556,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,19,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,2,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_regrow_internal_0,2,p_35,regrow_internal,26,0.03164556962025322,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,20,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_change_feature_0,20,p_35,change_feature,30,0.0,0.0,0.06451612903225801
sepsis,CART,s3_regrow_internal_0,20,p_35,regrow_internal,11,0.006329113924050556,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,21,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,22,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,23,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,24,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,25,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,26,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,27,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,28,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,29,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,3,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,4,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,5,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_change_feature_0,5,p_35,change_feature,5,0.044303797468354444,0.0,0.0
sepsis,CART,s3_regrow_internal_0,5,p_35,regrow_internal,25,0.006329113924050556,0.0,0.12903225806451613
sepsis,CART,s3_branch_swap_0,6,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,7,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,8,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_regrow_internal_0,8,p_35,regrow_internal,31,0.03164556962025322,0.0,0.06451612903225801
sepsis,CART,s3_branch_swap_0,9,p_35,branch_swap,27,0.0,0.0,0.06451612903225801
sepsis,CART,s3_change_feature_0,9,p_35,change_feature,5,0.044303797468354444,0.0,0.0
