dataset,seed,decision_point,trial_id,operator,algorithm,front_size,n_dominated,d_i
sepsis,0,p_13,s3_branch_swap_0,branch_swap,CART,195,0,0.0
sepsis,0,p_13,s3_branch_swap_0,branch_swap,C4.5,195,0,0.0
sepsis,0,p_13,s3_branch_swap_0,branch_swap,REPTree,195,0,0.0
sepsis,0,p_13,s3_change_feature_0,change_feature,CART,195,0,0.0
sepsis,0,p_13,s3_change_feature_0,change_feature,C4.5,195,0,0.0
sepsis,0,p_13,s3_change_feature_0,change_feature,REPTree,195,0,0.0
sepsis,0,p_13,s3_change_label_0,change_label,CART,196,0,0.0
sepsis,0,p_13,s3_change_label_0,change_label,C4.5,196,0,0.0
sepsis,0,p_13,s3_change_label_0,change_label,REPTree,196,0,0.0
sepsis,0,p_13,s3_change_threshold_0,change_threshold,CART,195,0,0.0
sepsis,0,p_13,s3_change_threshold_0,change_threshold,C4.5,195,0,0.0
sepsis,0,p_13,s3_change_threshold_0,change_threshold,REPTree,195,0,0.0
sepsis,0,p_13,s3_prune_0,prune,CART,195,0,0.0
sepsis,0,p_13,s3_prune_0,prune,C4.5,195,0,0.0
sepsis,0,p_13,s3_prune_0,prune,REPTree,195,0,0.0
sepsis,0,p_13,s3_regrow_internal_0,regrow_internal,CART,196,0,0.0
sepsis,0,p_13,s3_regrow_internal_0,regrow_internal,C4.5,196,0,0.0
sepsis,0,p_13,s3_regrow_internal_0,regrow_internal,REPTree,196,0,0.0
sepsis,0,p_13,s3_regrow_leaf_0,regrow_leaf,CART,197,0,0.0
sepsis,0,p_13,s3_regrow_leaf_0,regrow_leaf,C4.5,197,0,0.0
sepsis,0,p_13,s3_regrow_leaf_0,regrow_leaf,REPTree,197,0,0.0
sepsis,0,p_18,s3_branch_swap_0,branch_swap,CART,146,0,0.0
sepsis,0,p_18,s3_branch_swap_0,branch_swap,C4.5,146,0,0.0
sepsis,0,p_18,s3_branch_swap_0,branch_swap,REPTree,146,0,0.0
sepsis,0,p_18,s3_change_feature_0,change_feature,CART,175,0,0.0
sepsis,0,p_18,s3_change_feature_0,change_feature,C4.5,175,0,0.0
sepsis,0,p_18,s3_change_feature_0,change_feature,REPTree,175,0,0.0
sepsis,0,p_18,s3_change_label_0,change_label,CART,159,0,0.0
sepsis,0,p_18,s3_change_label_0,change_label,C4.5,159,0,0.0
sepsis,0,p_18,s3_change_label_0,change_label,REPTree,159,0,0.0
sepsis,0,p_18,s3_change_threshold_0,change_threshold,CART,181,0,0.0
sepsis,0,p_18,s3_change_threshold_0,change_threshold,C4.5,181,0,0.0
sepsis,0,p_18,s3_change_threshold_0,change_threshold,REPTree,181,0,0.0
sepsis,0,p_18,s3_prune_0,prune,CART,167,0,0.0
sepsis,0,p_18,s3_prune_0,prune,C4.5,167,0,0.0
sepsis,0,p_18,s3_prune_0,prune,REPTree,167,0,0.0
sepsis,0,p_18,s3_regrow_internal_0,regrow_internal,CART,184,0,0.0
sepsis,0,p_18,s3_regrow_internal_0,regrow_internal,C4.5,184,0,0.0
sepsis,0,p_18,s3_regrow_internal_0,regrow_internal,REPTree,184,0,0.0
sepsis,0,p_18,s3_regrow_leaf_0,regrow_leaf,CART,168,0,0.0
sepsis,0,p_18,s3_regrow_leaf_0,regrow_leaf,C4.5,168,0,0.0
sepsis,0,p_18,s3_regrow_leaf_0,regrow_leaf,REPTree,168,0,0.0
sepsis,0,p_22,s3_branch_swap_0,branch_swap,CART,140,0,0.0
sepsis,0,p_22,s3_branch_swap_0,branch_swap,C4.5,140,0,0.0
sepsis,0,p_22,s3_branch_swap_0,branch_swap,REPTree,140,0,0.0
sepsis,0,p_22,s3_change_feature_0,change_feature,CART,147,0,0.0
sepsis,0,p_22,s3_change_feature_0,change_feature,C4.5,147,0,0.0
sepsis,0,p_22,s3_change_feature_0,change_feature,REPTree,147,0,0.0
sepsis,0,p_22,s3_change_label_0,change_label,CART,183,0,0.0
sepsis,0,p_22,s3_change_label_0,change_label,C4.5,183,0,0.0
sepsis,0,p_22,s3_change_label_0,change_label,REPTree,183,0,0.0
sepsis,0,p_22,s3_prune_0,prune,CART,147,0,0.0
sepsis,0,p_22,s3_prune_0,prune,C4.5,147,0,0.0
sepsis,0,p_22,s3_prune_0,prune,REPTree,147,0,0.0
sepsis,0,p_22,s3_regrow_internal_0,regrow_internal,CART,195,0,0.0
sepsis,0,p_22,s3_regrow_internal_0,regrow_internal,C4.5,195,0,0.0
sepsis,0,p_22,s3_regrow_internal_0,regrow_internal,REPTree,195,0,0.0
sepsis,0,p_22,s3_regrow_leaf_0,regrow_leaf,CART,154,0,0.0
sepsis,0,p_22,s3_regrow_leaf_0,regrow_leaf,C4.5,154,0,0.0
sepsis,0,p_22,s3_regrow_leaf_0,regrow_leaf,REPTree,154,0,0.0
sepsis,0,p_23,s3_branch_swap_0,branch_swap,CART,208,0,0.0
sepsis,0,p_23,s3_branch_swap_0,branch_swap,C4.5,208,0,0.0
sepsis,0,p_23,s3_branch_swap_0,branch_swap,REPTree,208,0,0.0
sepsis,0,p_23,s3_change_feature_0,change_feature,CART,208,0,0.0
sepsis,0,p_23,s3_change_feature_0,change_feature,C4.5,208,0,0.0
sepsis,0,p_23,s3_change_feature_0,change_feature,REPTree,208,0,0.0
sepsis,0,p_23,s3_change_label_0,change_label,CART,208,0,0.0
sepsis,0,p_23,s3_change_label_0,change_label,C4.5,208,0,0.0
sepsis,0,p_23,s3_change_label_0,change_label,REPTree,208,0,0.0
sepsis,0,p_23,s3_change_threshold_0,change_threshold,CART,208,0,0.0
sepsis,0,p_23,s3_change_threshold_0,change_threshold,C4.5,208,0,0.0
sepsis,0,p_23,s3_change_threshold_0,change_threshold,REPTree,208,0,0.0
sepsis,0,p_23,s3_prune_0,prune,CART,208,0,0.0
sepsis,0,p_23,s3_prune_0,prune,C4.5,208,0,0.0
sepsis,0,p_23,s3_prune_0,prune,REPTree,208,0,0.0
sepsis,0,p_23,s3_regrow_internal_0,regrow_internal,CART,208,0,0.0
sepsis,0,p_23,s3_regrow_internal_0,regrow_internal,C4.5,208,0,0.0
sepsis,0,p_23,s3_regrow_internal_0,regrow_internal,REPTree,208,0,0.0
sepsis,0,p_23,s3_regrow_leaf_0,regrow_leaf,CART,208,0,0.0
sepsis,0,p_23,s3_regrow_leaf_0,regrow_leaf,C4.5,208,0,0.0
sepsis,0,p_23,s3_regrow_leaf_0,regrow_leaf,REPTree,208,0,0.0
sepsis,0,p_27,s3_branch_swap_0,branch_swap,CART,173,0,0.0
