dataset,algorithm,operator,n_trials,dominance_pct
sepsis,C4.5,branch_swap,270,0.0
sepsis,C4.5,change_feature,270,0.0
sepsis,C4.5,change_label,360,0.0
sepsis,C4.5,change_threshold,120,0.0
sepsis,C4.5,prune,300,0.0
sepsis,C4.5,regrow_internal,300,0.0
sepsis,C4.5,regrow_leaf,360,0.0
sepsis,CART,branch_swap,270,11.11111111111111
sepsis,CART,change_feature,270,1.8518518518518516
sepsis,CART,change_label,360,0.0
sepsis,CART,change_threshold,120,0.0
sepsis,CART,prune,300,0.0
sepsis,CART,regrow_internal,300,1.3333333333333335
sepsis,CART,regrow_leaf,360,0.0
sepsis,REPTree,branch_swap,270,0.0
sepsis,REPTree,change_feature,270,0.0
sepsis,REPTree,change_label,360,0.0
sepsis,REPTree,change_threshold,120,0.0
sepsis,REPTree,prune,300,0.0
sepsis,REPTree,regrow_internal,300,0.0
sepsis,REPTree,regrow_leaf,360,0.0
