dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner
sepsis,overall,CART,False,1980,0.0,0.0,0.21007319561760548,0.20599061752041198,0.21517789449195213,RulesRepair
sepsis,overall,J48,False,1980,0.0,0.0,0.3050763350120231,0.29884681234227667,0.31174340301297865,RulesRepair
sepsis,overall,REPTree,False,1980,0.0,0.0,0.1701876081620144,0.1657352163714288,0.1741509677419355,RulesRepair
sepsis,prune,CART,False,300,4.133144232312745e-51,4.133144232312745e-51,0.14999932703746505,0.1457763213313692,0.1616098337238166,RulesRepair
sepsis,prune,J48,False,300,4.8981945405844565e-51,4.8981945405844565e-51,0.2580645161290323,0.24103176244812854,0.2726112699060841,RulesRepair
sepsis,prune,REPTree,False,300,3.1101490962534685e-51,3.1101490962534685e-51,0.07683352525118414,0.06955164148910442,0.09918081980820223,RulesRepair
sepsis,change_label,CART,False,360,5.320749530234773e-56,5.320749530234773e-56,0.19212575890075148,0.1775434858898016,0.22085852017812532,RulesRepair
sepsis,change_label,J48,False,360,6.015897457321333e-56,6.015897457321333e-56,0.3035410315115633,0.2812183228052541,0.32325298296493654,RulesRepair
sepsis,change_label,REPTree,False,360,5.228591892106684e-56,5.228591892106684e-56,0.19586834911453582,0.1890832461405294,0.19890806451612905,RulesRepair
sepsis,branch_swap,CART,False,270,3.1718792731688702e-46,3.1718792731688702e-46,0.1737072610907721,0.17203204888104104,0.19062928378074637,RulesRepair
sepsis,branch_swap,J48,False,270,3.9128780106711375e-46,3.9128780106711375e-46,0.2743984752170736,0.24828206829361277,0.294206742622519,RulesRepair
sepsis,branch_swap,REPTree,False,270,3.1718792731688702e-46,3.1718792731688702e-46,0.13389728558136924,0.1268391414891044,0.14683306451612904,RulesRepair
sepsis,change_threshold,CART,False,120,3.641782008712224e-22,3.641782008712224e-22,0.17265775257809257,0.15005140494453484,0.20664122076946279,RulesRepair
sepsis,change_threshold,J48,False,120,1.105058313587418e-21,1.105058313587418e-21,0.30791662975223455,0.266189782396847,0.3408990897407891,RulesRepair
sepsis,change_threshold,REPTree,False,120,3.641782008712224e-22,3.641782008712224e-22,0.13472083032518842,0.12476012344259874,0.1789141935483871,RulesRepair
sepsis,change_feature,CART,False,270,4.283189171356792e-46,4.283189171356792e-46,0.20664122076946279,0.19360664199534827,0.20999758367141727,RulesRepair
sepsis,change_feature,J48,False,270,4.513298174839871e-46,4.513298174839871e-46,0.294206742622519,0.2746901499862061,0.3110581848200249,RulesRepair
sepsis,change_feature,REPTree,False,270,4.305809099355067e-46,4.305809099355067e-46,0.15245860215053764,0.13732933917258983,0.15875290322580646,RulesRepair
sepsis,regrow_leaf,CART,False,360,1.3637359796673397e-60,1.3637359796673397e-60,0.2687865026040322,0.25960765950248216,0.2770556626408001,RulesRepair
sepsis,regrow_leaf,J48,False,360,1.3662225846758062e-60,1.3662225846758062e-60,0.34936225536309007,0.3368457233341683,0.36155628556269537,RulesRepair
sepsis,regrow_leaf,REPTree,False,360,1.3645226237049615e-60,1.3645226237049615e-60,0.24452040288553156,0.23612552510462248,0.2529887096774194,RulesRepair
sepsis,regrow_internal,CART,False,300,6.051556138532479e-51,6.051556138532479e-51,0.24926987352514202,0.2371181959154618,0.26065262936906886,RulesRepair
sepsis,regrow_internal,J48,False,300,6.058262031869878e-51,6.058262031869878e-51,0.32321936503716725,0.31013909790546396,0.3368786313790936,RulesRepair
sepsis,regrow_internal,REPTree,False,300,6.03771283500414e-51,6.03771283500414e-51,0.1975242071593848,0.18605707810086652,0.20891684742306266,RulesRepair
