dataset,algorithm,n_trials_overall,dominance_overall,max_coverage_overall,n_trials_prune,dominance_prune,max_coverage_prune,n_trials_change_label,dominance_change_label,max_coverage_change_label,n_trials_branch_swap,dominance_branch_swap,max_coverage_branch_swap,n_trials_change_threshold,dominance_change_threshold,max_coverage_change_threshold,n_trials_change_feature,dominance_change_feature,max_coverage_change_feature,n_trials_regrow_leaf,dominance_regrow_leaf,max_coverage_regrow_leaf,n_trials_regrow_internal,dominance_regrow_internal,max_coverage_regrow_internal
hospital_billing,C4.5,2578,2.7152831652443754,10.144927536231881,330,0.0,0.0,540,0.0,0.0,330,2.727272727272727,0.97560975609756,180,0.0,0.0,330,15.151515151515152,10.144927536231881,540,0.1851851851851852,0.48076923076923,328,3.048780487804878,0.96153846153846
hospital_billing,CART,2578,16.5244375484872,10.144927536231881,330,12.727272727272727,6.25,540,16.666666666666664,2.92682926829268,330,14.84848484848485,6.70103092783505,180,5.0,2.92682926829268,330,35.75757575757576,10.144927536231881,540,13.518518518518519,2.92682926829268,328,13.719512195121952,6.25
hospital_billing,REPTree,2578,5.702094647013189,10.144927536231881,330,6.0606060606060606,6.25,540,0.0,0.0,330,5.757575757575758,6.70103092783505,180,0.0,0.0,330,22.12121212121212,10.144927536231881,540,1.1111111111111112,2.8985507246376803,328,8.841463414634147,6.25
international_declarations,C4.5,1800,3.0555555555555554,16.34615384615384,150,0.0,0.0,540,0.0,0.0,180,0.0,0.0,90,0.0,0.0,150,0.0,0.0,540,7.777777777777778,10.57692307692307,150,8.666666666666668,16.34615384615384
international_declarations,CART,1800,3.111111111111111,10.57692307692307,150,0.0,0.0,540,0.0,0.0,180,0.0,0.0,90,0.0,0.0,150,0.0,0.0,540,8.148148148148149,10.57692307692307,150,8.0,6.37254901960784
international_declarations,REPTree,1800,2.388888888888889,16.34615384615384,150,0.0,0.0,540,0.0,0.0,180,0.0,0.0,90,0.0,0.0,150,0.0,0.0,540,6.296296296296296,10.57692307692307,150,6.0,16.34615384615384
prepaid_travel_costs,C4.5,1560,2.2435897435897436,23.4375,180,0.0,0.0,390,0.0,0.0,180,0.0,0.0,90,0.0,0.0,150,1.3333333333333335,19.23076923076923,390,4.871794871794872,23.4375,180,7.777777777777778,11.881188118811881
prepaid_travel_costs,CART,1560,2.6923076923076925,23.4375,180,0.0,0.0,390,0.0,0.0,180,0.0,0.0,90,0.0,0.0,150,1.3333333333333335,19.23076923076923,390,4.615384615384616,23.4375,180,12.222222222222221,11.881188118811881
prepaid_travel_costs,REPTree,1560,2.1153846153846154,23.4375,180,0.0,0.0,390,0.0,0.0,180,0.0,0.0,90,0.0,0.0,150,0.0,0.0,390,4.102564102564102,23.4375,180,9.444444444444445,11.53846153846153
production,C4.5,4412,5.303717135086129,70.87378640776699,750,2.2666666666666666,19.32367149758454,780,7.6923076923076925,19.71153846153846,570,6.140350877192982,19.71153846153846,210,0.0,0.0,540,1.2962962962962963,28.36538461538461,782,8.439897698209718,23.178807947019862,780,6.282051282051282,70.87378640776699
production,CART,4412,6.255666364460562,54.02298850574713,750,4.0,34.48275862068966,780,11.538461538461538,34.48275862068966,570,0.8771929824561403,18.78172588832487,210,4.285714285714286,24.503311258278142,540,1.8518518518518516,54.02298850574713,782,8.567774936061381,34.48275862068966,780,8.333333333333332,35.911602209944746
production,REPTree,4412,14.165911151405258,70.87378640776699,750,11.200000000000001,34.48275862068966,780,17.17948717948718,37.28813559322034,570,12.631578947368421,37.28813559322034,210,23.333333333333332,33.33333333333333,540,8.703703703703704,57.47126436781609,782,17.007672634271103,36.065573770491795,780,13.58974358974359,70.87378640776699
road_traffic,C4.5,930,8.60215053763441,16.82692307692307,120,0.0,0.0,180,16.666666666666664,3.35195530726257,120,0.0,0.0,90,0.0,0.0,120,5.0,1.9607843137254901,180,20.0,6.25,120,6.666666666666667,16.82692307692307
road_traffic,CART,930,5.268817204301075,16.82692307692307,120,0.0,0.0,180,0.0,0.0,120,0.0,0.0,90,0.0,0.0,120,24.166666666666668,10.57692307692307,180,0.5555555555555556,0.48076923076923,120,15.833333333333332,16.82692307692307
road_traffic,REPTree,930,13.225806451612904,16.82692307692307,120,0.0,0.0,180,16.666666666666664,3.84615384615384,120,25.0,14.903846153846152,90,0.0,0.0,120,14.166666666666666,10.57692307692307,180,18.88888888888889,6.25,120,10.0,16.82692307692307
sepsis,C4.5,2010,3.9303482587064673,16.92307692307692,300,0.0,0.0,360,8.333333333333332,16.92307692307692,270,0.0,0.0,150,0.0,0.0,270,2.5925925925925926,11.0576923076923,360,8.61111111111111,16.92307692307692,300,3.6666666666666665,15.51724137931034
sepsis,CART,2010,11.09452736318408,27.0,300,0.0,0.0,360,18.88888888888889,20.28985507246377,270,8.148148148148149,27.0,150,0.0,0.0,270,12.592592592592592,11.0576923076923,360,20.833333333333336,20.28985507246377,300,8.0,15.51724137931034
sepsis,REPTree,2010,5.621890547263682,30.76923076923077,300,0.0,0.0,360,6.111111111111111,4.76190476190476,270,0.0,0.0,150,0.0,0.0,270,17.77777777777778,30.76923076923077,360,6.388888888888888,10.29411764705882,300,6.666666666666667,15.51724137931034
