dataset,mine_algorithm,mutation_type,n_trials_with_dominance,bootstrap_flagged_low_n,median_of_median_delta_accuracy,q1_of_median_delta_accuracy,q3_of_median_delta_accuracy,boot_ci95_lo_delta_accuracy,boot_ci95_hi_delta_accuracy,median_of_median_delta_similarity,q1_of_median_delta_similarity,q3_of_median_delta_similarity,boot_ci95_lo_delta_similarity,boot_ci95_hi_delta_similarity,median_of_median_delta_simplicity,q1_of_median_delta_simplicity,q3_of_median_delta_simplicity,boot_ci95_lo_delta_simplicity,boot_ci95_hi_delta_simplicity
hospital_billing,CART,change_feature,118,False,0.0,0.0,0.0016528925619835322,0.0,0.0002674130204779468,0.0,0.0,0.0,0.0,0.0,0.09677419354838712,0.06451612903225801,0.12903225806451613,0.06451612903225801,0.12903225806451613
hospital_billing,REPTree,change_feature,73,False,0.0,0.0,0.0011820330969267712,0.0,0.0001801801801799563,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
hospital_billing,CART,change_label,90,False,0.0024875621890545485,0.0,0.0024875621890545485,0.0024875621890545485,0.0024875621890545485,0.0,0.0,0.13329999999999997,0.0,0.13329999999999997,0.0,0.0,0.06451612903225812,0.0,0.0
hospital_billing,C4.5,regrow_internal,10,False,0.0,0.0,0.0005494606472233321,0.0,0.0005995205753095978,0.0,0.0,0.0,0.0,0.0,0.09677419354838707,0.016129032258064502,0.12903225806451613,0.0,0.16129032258064513
hospital_billing,REPTree,regrow_internal,29,False,0.0016528925619835322,0.0,0.0016528925619835322,0.0007990411506192396,0.0016528925619835322,0.0,0.0,0.0,0.0,0.0,0.19354838709677424,0.06451612903225812,0.19354838709677424,0.12903225806451613,0.19354838709677424
hospital_billing,C4.5,change_feature,50,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225801,0.06451612903225801,0.12903225806451613,0.06451612903225801,0.12903225806451613
hospital_billing,CART,branch_swap,49,False,0.0016528925619835322,0.0008264462809918216,0.0024875621890545485,0.0008264462809918216,0.0024875621890545485,0.0,0.0,0.0,0.0,0.0,0.06451612903225812,0.0,0.19354838709677413,0.0,0.06451612903225812
hospital_billing,REPTree,branch_swap,19,False,0.0008264462809918216,0.0008264462809918216,0.0016528925619835322,0.0008264462809918216,0.0016528925619835322,0.0,0.0,0.0,0.0,0.0,0.06451612903225812,0.06451612903225812,0.19354838709677424,0.06451612903225812,0.19354838709677424
hospital_billing,CART,regrow_internal,45,False,0.0016528925619835322,0.0,0.0024875621890545485,0.0016528925619835322,0.0016528925619835322,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.19354838709677424,0.06451612903225801,0.19354838709677424
hospital_billing,C4.5,branch_swap,9,True,0.0008291873963516272,0.0008291873963516272,0.0008291873963516272,,,0.0,0.0,0.0,,,0.12903225806451601,0.12903225806451601,0.12903225806451601,,
hospital_billing,CART,change_threshold,9,True,0.0024875621890545485,0.0024875621890545485,0.0024875621890545485,,,0.13329999999999997,0.13329999999999997,0.13329999999999997,,,0.0,0.0,0.0,,
hospital_billing,CART,prune,42,False,0.0024875621890545485,0.0016528925619835322,0.0024875621890545485,0.0016528925619835322,0.0024875621890545485,0.0,0.0,0.17859999999999998,0.0,0.0,0.0,0.0,0.19354838709677424,0.0,0.06451612903225812
hospital_billing,CART,regrow_leaf,73,False,0.0024875621890545485,0.0024875621890545485,0.0024875621890545485,0.0024875621890545485,0.0024875621890545485,0.08099999999999999,0.0,0.09620000000000001,0.0,0.0879,0.0,0.0,0.0,0.0,0.0
hospital_billing,REPTree,prune,20,False,0.0016528925619835322,0.0008264462809918216,0.0016528925619835322,0.001239669421487677,0.0016528925619835322,0.0,0.0,0.0,0.0,0.0,0.19354838709677424,0.06451612903225812,0.19354838709677424,0.12903225806451618,0.19354838709677424
hospital_billing,REPTree,regrow_leaf,6,True,0.0009115533454070457,0.0001997602876548099,0.0010240655401948517,,,0.0,0.0,0.0,,,0.06451612903225801,0.016129032258064502,0.06451612903225809,,
hospital_billing,C4.5,regrow_leaf,1,True,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.06451612903225812,0.06451612903225812,0.06451612903225812,,
