dataset,mine_algorithm,mutation_type,n_trials_with_dominance,bootstrap_flagged_low_n,median_of_median_delta_accuracy,q1_of_median_delta_accuracy,q3_of_median_delta_accuracy,boot_ci95_lo_delta_accuracy,boot_ci95_hi_delta_accuracy,median_of_median_delta_similarity,q1_of_median_delta_similarity,q3_of_median_delta_similarity,boot_ci95_lo_delta_similarity,boot_ci95_hi_delta_similarity,median_of_median_delta_simplicity,q1_of_median_delta_simplicity,q3_of_median_delta_simplicity,boot_ci95_lo_delta_simplicity,boot_ci95_hi_delta_simplicity
road_traffic,CART,change_feature,29,False,0.0005866577271204099,0.0,0.0038551793496480746,0.0,0.0018647696664132463,0.0,0.0,0.0,0.0,0.0,0.12903225806451624,0.12903225806451613,0.19354838709677424,0.12903225806451613,0.12903225806451624
road_traffic,REPTree,change_feature,17,False,0.0008287865184060106,8.380824673159815e-05,0.004022795843111049,8.380824673159815e-05,0.004022795843111049,0.0,0.0,0.0,0.0,0.0,0.19354838709677424,0.19354838709677424,0.25806451612903225,0.19354838709677424,0.25806451612903225
road_traffic,REPTree,branch_swap,30,False,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,REPTree,change_label,30,False,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,REPTree,regrow_leaf,34,False,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,8.380824673159815e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_traffic,C4.5,regrow_leaf,36,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
road_traffic,C4.5,change_label,30,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
road_traffic,CART,regrow_internal,19,False,0.004022795843110827,0.0006041238079624311,0.008196721311475197,0.0006215898888044524,0.008196721311475197,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.12903225806451624,0.0,0.12903225806451624
road_traffic,C4.5,regrow_internal,8,True,0.008196721311475197,0.0015085484411665184,0.016393442622950644,,,0.0,0.0,0.0,,,0.22580645161290325,0.19354838709677424,0.25806451612903225,,
road_traffic,REPTree,regrow_internal,12,False,0.005698960777740458,0.0026785776096085456,0.156211015426213,0.0025914830770782382,0.2796351456065244,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.06451612903225809,0.19354838709677424,0.06451612903225806,0.19354838709677424
road_traffic,C4.5,change_feature,6,True,0.0031847133757961776,0.002681863895407338,0.0031847133757961776,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
road_traffic,CART,regrow_leaf,1,True,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.12903225806451613,0.12903225806451613,0.12903225806451613,,
