dataset,mine_algorithm,mutation_type,n_trials_with_dominance,bootstrap_flagged_low_n,median_of_median_delta_accuracy,q1_of_median_delta_accuracy,q3_of_median_delta_accuracy,boot_ci95_lo_delta_accuracy,boot_ci95_hi_delta_accuracy,median_of_median_delta_similarity,q1_of_median_delta_similarity,q3_of_median_delta_similarity,boot_ci95_lo_delta_similarity,boot_ci95_hi_delta_similarity,median_of_median_delta_simplicity,q1_of_median_delta_simplicity,q3_of_median_delta_simplicity,boot_ci95_lo_delta_simplicity,boot_ci95_hi_delta_simplicity
sepsis,CART,change_label,68,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225801,0.06451612903225801,0.06451612903225812,0.06451612903225801,0.06451612903225812
sepsis,C4.5,change_label,30,False,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.0,0.0,0.0,0.0,0.0,0.12903225806451624,0.12903225806451624,0.12903225806451624,0.12903225806451624,0.12903225806451624
sepsis,CART,regrow_leaf,75,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225801,0.06451612903225801,0.06451612903225812,0.06451612903225801,0.06451612903225812
sepsis,C4.5,regrow_leaf,31,False,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.01898734177215189,0.0,0.0,0.0,0.0,0.0,0.12903225806451624,0.08064516129032259,0.12903225806451624,0.12903225806451624,0.12903225806451624
sepsis,CART,branch_swap,22,False,0.008620689655172376,0.0,0.01724137931034475,0.0,0.01724137931034475,0.0,0.0,0.0,0.0,0.0,0.032258064516129004,0.0,0.06451612903225801,0.0,0.06451612903225801
sepsis,REPTree,change_label,22,False,0.03448275862068961,0.03448275862068961,0.03448275862068961,0.03448275862068961,0.03448275862068961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sepsis,REPTree,regrow_leaf,23,False,0.03448275862068961,0.012658227848101222,0.03448275862068961,0.018987341772151778,0.03448275862068961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sepsis,CART,regrow_internal,24,False,0.0,0.0,0.0005274261603375463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.06451612903225801,0.14516129032258066,0.06451612903225801,0.12903225806451613
sepsis,REPTree,regrow_internal,20,False,0.029535864978903037,0.0,0.029535864978903037,0.002155172413793094,0.029535864978903037,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.06451612903225809,0.27419354838709675,0.09677419354838712,0.25806451612903225
sepsis,CART,change_feature,34,False,0.0,0.0,0.00576933033056351,0.0,0.004089979550102374,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.12903225806451613,0.19354838709677424
sepsis,REPTree,change_feature,48,False,0.021828324402681953,0.004089979550102374,0.029535864978903037,0.006329113924050667,0.025316455696202556,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.12903225806451613,0.25806451612903225,0.12903225806451613,0.25806451612903225
sepsis,C4.5,regrow_internal,11,False,0.006329113924050667,0.0,0.029535864978902926,0.0,0.03375527426160341,0.0,0.0,0.0,0.0,0.0,0.06451612903225801,0.0,0.06451612903225806,0.0,0.06451612903225812
sepsis,C4.5,change_feature,7,True,0.0,0.0,0.03630503999378748,,,0.0,0.0,0.0,,,0.06451612903225812,0.0,0.19354838709677424,,
