dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner
sepsis,overall,CART,False,2010,0.0,0.0,1.0,large,0.21383380847044675,0.20987622182529808,0.21909435483870968,2.007648703329656,2.007648703329656,regular,0.21264485188697746,0.10591736070872812,KR
sepsis,overall,J48,False,2010,0.0,0.0,1.0,large,0.31248046413657626,0.3058927240117852,0.31930025131388917,2.0935421379027255,2.0935421379027255,regular,0.31742486458694164,0.15162095801182793,KR
sepsis,overall,REPTree,False,2010,0.0,0.0,1.0,large,0.1794052320914926,0.1749751481175317,0.18579497049556995,1.6187503094791325,1.6187503094791325,regular,0.18160964760857465,0.1121912666487838,KR
sepsis,prune,CART,False,300,4.133144232312745e-51,4.133144232312745e-51,1.0,large,0.1613291051477566,0.1505764169757136,0.1775434858898016,1.7913161710531216,1.7913161710531216,regular,0.16341750022950743,0.09122761401379728,KR
sepsis,prune,J48,False,300,4.8981945405844565e-51,4.8981945405844565e-51,1.0,large,0.2726112699060841,0.252010800837266,0.29253436776915753,1.7473194402884844,1.7473194402884844,regular,0.2819963492211926,0.16138797675978164,KR
sepsis,prune,REPTree,False,300,1.3648482018756557e-51,1.3648482018756557e-51,1.0,large,0.06451612903225806,0.04838709677419356,0.11372757358525412,0.9575106319324945,0.9575106319324945,regular,0.09806960095623467,0.10242142247371795,KR
sepsis,change_label,CART,False,360,5.320749530234773e-56,5.320749530234773e-56,1.0,large,0.19354838709677424,0.1775434858898016,0.2048703096330217,1.630738569749545,1.630738569749545,regular,0.19328085083617902,0.11852350488396422,KR
sepsis,change_label,J48,False,360,6.015897457321333e-56,6.015897457321333e-56,1.0,large,0.3034982831778593,0.28113018118948707,0.3122984631034597,1.8092572378774017,1.8092572378774017,regular,0.30395174588282664,0.16799808204134592,KR
sepsis,change_label,REPTree,False,360,3.4262106326347024e-56,3.4262106326347024e-56,1.0,large,0.19705257358525413,0.18545447048166708,0.19890806451612905,1.8635566109141828,1.8635566109141828,regular,0.19288649529169374,0.10350450003076199,KR
sepsis,branch_swap,CART,False,270,3.2502951562300954e-46,3.2502951562300954e-46,1.0,large,0.19183429954259124,0.1737072610907721,0.20844527127632848,1.9217257153260965,1.9217257153260965,regular,0.1874839790117748,0.09756021762968435,KR
sepsis,branch_swap,J48,False,270,4.009212819601476e-46,4.009212819601476e-46,1.0,large,0.299015635012142,0.2783940016033618,0.32296221115187185,1.8930132303945755,1.8930132303945755,regular,0.3045505227915212,0.16088134932265707,KR
sepsis,branch_swap,REPTree,False,270,1.7228933977914697e-46,1.7228933977914697e-46,1.0,large,0.1424769361933472,0.13868482553688655,0.16691063198849942,1.3964109219312442,1.3964109219312442,regular,0.1545700547231426,0.11069095228027245,KR
sepsis,change_threshold,CART,False,150,7.125876503806905e-27,7.125876503806905e-27,1.0,large,0.19526410021165033,0.18212172780608113,0.2066342323722897,2.3112806939796955,2.3112806939796955,regular,0.19675313183276888,0.08512732025377154,KR
sepsis,change_threshold,J48,False,150,1.4291981181853858e-26,1.4291981181853858e-26,1.0,large,0.31065144549287327,0.27754167658354967,0.32740918962340027,2.3533427212380023,2.3533427212380023,regular,0.30874195565154905,0.13119294222013353,KR
sepsis,change_threshold,REPTree,False,150,7.894710006034491e-28,7.894710006034491e-28,1.0,large,0.14592338709677422,0.14592338709677422,0.14592338709677422,2.1218360245705234,2.1218360245705234,regular,0.15795143250265958,0.07444092317860906,KR
sepsis,change_feature,CART,False,270,4.192601465751015e-46,4.192601465751015e-46,1.0,large,0.20999758367141727,0.20663423237228967,0.224568357032115,2.098758451221639,2.098758451221639,regular,0.21591485406045874,0.10287741971201102,KR
sepsis,change_feature,J48,False,270,4.391749712895543e-46,4.391749712895543e-46,1.0,large,0.31770713873209167,0.2969735915298035,0.3374483150832498,2.146673384596391,2.146673384596391,regular,0.32557469477468776,0.1516647558547436,KR
sepsis,change_feature,REPTree,False,270,3.627155204254691e-46,3.627155204254691e-46,1.0,large,0.17497514811753173,0.15429824526724206,0.18890472816749282,1.5689664089624091,1.5689664089624091,regular,0.176970845329174,0.11279454060855809,KR
sepsis,regrow_leaf,CART,False,360,1.3646835832335373e-60,1.3646835832335373e-60,1.0,large,0.2651793228612349,0.2552701612903226,0.2745220077478522,2.8340362814582254,2.8340362814582254,regular,0.26320930620969674,0.09287436012437532,KR
sepsis,regrow_leaf,J48,False,360,1.3659003266631708e-60,1.3659003266631708e-60,1.0,large,0.3462604105113217,0.3333028898023138,0.3590989904727403,2.7209187336908416,2.7209187336908416,regular,0.352067883784538,0.12939301693401511,KR
sepsis,regrow_leaf,REPTree,False,360,1.360647368033333e-60,1.360647368033333e-60,1.0,large,0.2553925160916106,0.24521214713143263,0.26515685114889037,2.81911301136778,2.81911301136778,regular,0.2537195555549705,0.08999978168022098,KR
sepsis,regrow_internal,CART,False,300,6.050382410665495e-51,6.050382410665495e-51,1.0,large,0.25034403959760976,0.2385377169807893,0.26118410551726845,2.532689528396981,2.532689528396981,regular,0.25207930327679595,0.09953028211726564,KR
sepsis,regrow_internal,J48,False,300,6.056632245548525e-51,6.056632245548525e-51,1.0,large,0.3293039016172003,0.3141706927542444,0.3453349068348466,2.4804865084704444,2.4804865084704444,regular,0.336043014275116,0.13547463899827136,KR
sepsis,regrow_internal,REPTree,False,300,6.01226369722581e-51,6.01226369722581e-51,1.0,large,0.20299932543751,0.190283380036867,0.21595537634408604,1.9310041786366563,1.9310041786366563,regular,0.2054252507068038,0.10638260288584143,KR
